County,Highest Pollutant,Highest Pollutant Value
Grand Co,O3,1807.36
Gunnison,O3,1609.98
Huerfano,O3,1049.44
Jefferso,O3,3037.4
Kit Cars,O3,1412.44
La Plata,O3,2798.88
Larimer,O3,2461.16
Las Anim,O3,666.55
Lincoln,O3,1074.22
Logan Co,O3,1707.5
Mesa Cou,O3,2077.51
Moffat C,O3,1386.79
Montezum,O3,2571.97
Montrose,O3,1708.25
Morgan C,O3,1847.3
Otero Co,O3,683.6
Park Cou,O3,1843.92
Phillips,O3,1868.23
Pitkin C,O3,1485.17
Prowers,O3,978.82
Pueblo C,O3,1127.79
Rio Gran,O3,1312.07
Routt Co,O3,1388.77
Summit C,O3,1753.49
Teller C,O3,2264.53
Weld Cou,O3,2638.1
Yuma Cou,O3,1726.46
Fairfiel,O3,5842.57
Hartford,O3,6415.0
Litchfie,O3,9579.8
Middlese,O3,5110.49
New Have,O3,5708.37
New Lond,O3,6130.86
Tolland,O3,5584.64
Windham,O3,7911.02
Kent Cou,O3,4805.01
New Cast,O3,3775.15
Sussex C,O3,4218.53
District,O3,3464.74
Alachua,O3,3562.41
Baker Co,O3,3900.23
Bay Coun,O3,3157.87
Bradford,O3,4009.01
Brevard,O3,3401.27
Broward,O3,4155.32
Calhoun,O3,2431.51
Charlott,O3,4048.84
Citrus C,O3,3723.19
Clay Cou,O3,4883.34
Collier,O3,3109.91
Columbia,O3,5683.08
DeSoto C,O3,3706.12
Dixie Co,O3,2903.49
Duval Co,O3,6722.74
Escambia,O3,551.77
Flagler,O3,3677.79
Franklin,O3,2483.75
Gadsden,O3,2904.7
Gilchris,O3,3604.19
Glades C,O3,3658.76
Gulf Cou,O3,1997.58
Hamilton,O3,4472.45
Hardee C,O3,3463.55
Hendry C,O3,3543.9
Hernando,O3,4215.46
Highland,O3,3768.51
Hillsbor,O3,3703.27
Holmes C,O3,1952.24
Indian R,O3,3810.36
Jackson,O3,2302.23
Jefferso,O3,4501.04
Lafayett,O3,3732.14
Lake Cou,O3,4402.76
Lee Coun,O3,4041.91
Leon Cou,O3,4006.34
Levy Cou,O3,2837.45
Liberty,O3,2600.94
Madison,O3,4320.06
Manatee,O3,3792.64
Marion C,O3,3881.44
Martin C,O3,3466.29
Monroe C,O3,2431.93
Nassau C,O3,4882.58
Okaloosa,O3,1576.29
Okeechob,O3,3670.19
Orange C,O3,3787.94
Osceola,O3,3660.84
Palm Bea,O3,3777.79
Pasco Co,O3,4715.11
Pinellas,O3,4116.87
Polk Cou,O3,3413.04
Putnam C,O3,4091.23
St. John,O3,4560.51
St. Luci,O3,3615.01
Santa Ro,O3,1383.8
Sarasota,O3,4435.83
Seminole,O3,3898.23
Sumter C,O3,4594.52
Suwannee,O3,4375.36
Taylor C,O3,3697.18
Volusia,O3,4034.24
Wakulla,O3,3541.58
Walton C,O3,1871.19
Washingt,O3,2948.06
Appling,O3,4516.73
Atkinson,O3,4439.7
Bacon Co,O3,4394.37
Baker Co,O3,2569.91
Baldwin,O3,5171.79
Banks Co,O3,5478.1
Barrow C,O3,5825.56
Bartow C,O3,5337.45
Ben Hill,O3,4424.31
Berrien,O3,4380.57
Bibb Cou,O3,6074.19
Bleckley,O3,4127.36
Brantley,O3,4925.41
Brooks C,O3,4232.69
Bryan Co,O3,5029.6
Bulloch,O3,4474.04
Burke Co,O3,5284.77
Butts Co,O3,5386.21
Calhoun,O3,2229.91
Camden C,O3,5124.85
Candler,O3,4359.48
Carroll,O3,1384.03
Catoosa,O3,5098.2
Charlton,O3,4365.45
Chatham,O3,5880.53
Chattaho,O3,4410.36
Chattoog,O3,1734.33
Cherokee,O3,6188.18
Clarke C,O3,6612.45
Clay Cou,O3,1497.74
Clayton,O3,5665.4
Clinch C,O3,4361.34
Cobb Cou,O3,6204.58
Coffee C,O3,4492.84
Colquitt,O3,4068.6
Columbia,O3,5148.54
Cook Cou,O3,4189.36
Coweta C,O3,4705.4
Crawford,O3,5285.76
Crisp Co,O3,4750.53
Dade Cou,O3,1722.39
Dawson C,O3,6376.53
Decatur,O3,2638.19
DeKalb C,O3,5797.34
Dodge Co,O3,4392.44
Dooly Co,O3,5034.89
Doughert,O3,3443.78
Douglas,O3,5785.13
Early Co,O3,1769.07
Effingha,O3,4982.02
Elbert C,O3,5810.25
Emanuel,O3,4315.98
Evans Co,O3,4486.55
Fannin C,O3,6399.54
Fayette,O3,5805.92
Floyd Co,O3,2367.55
Forsyth,O3,6272.53
Franklin,O3,5705.04
Fulton C,O3,6151.08
Gilmer C,O3,6357.68
Glynn Co,O3,5958.05
Gordon C,O3,4926.91
Grady Co,O3,3356.07
Greene C,O3,5218.89
Gwinnett,O3,6051.92
Habersha,O3,5731.7
Hall Cou,O3,5672.14
Hancock,O3,4772.97
Haralson,O3,1217.59
Harris C,O3,3055.91
Hart Cou,O3,6558.26
Heard Co,O3,841.61
Henry Co,O3,5550.93
Houston,O3,5342.01
Irwin Co,O3,4316.24
Jackson,O3,5767.54
Jasper C,O3,5323.05
Jeff Dav,O3,4413.01
Jefferso,O3,4471.05
Jenkins,O3,4620.57
Johnson,O3,4448.64
Jones Co,O3,5820.89
Lamar Co,O3,5237.88
Lanier C,O3,4522.3
Laurens,O3,4352.98
Lee Coun,O3,4509.78
Liberty,O3,4903.18
Lincoln,O3,5396.99
Long Cou,O3,4783.9
Lowndes,O3,4755.53
Lumpkin,O3,5982.57
McDuffie,O3,4886.77
McIntosh,O3,5068.88
Macon Co,O3,5150.33
Madison,O3,5861.93
Marion C,O3,4934.73
Meriweth,O3,3622.47
Miller C,O3,2161.26
Mitchell,O3,3089.25
Monroe C,O3,5326.71
Montgome,O3,4258.29
Morgan C,O3,5641.11
Murray C,O3,6395.54
Muscogee,O3,6352.56
Newton C,O3,5364.64
Oconee C,O3,6332.64
Oglethor,O3,5555.59
Paulding,O3,6037.7
