County,Highest Pollutant,Highest Pollutant Value
Aroostoo,O3,698.24
Cumberla,O3,8238.12
Franklin,O3,4057.04
Hancock,O3,4375.37
Kennebec,O3,5692.34
Knox Cou,O3,6452.54
Lincoln,O3,6455.88
Oxford C,O3,6708.87
Penobsco,O3,2416.12
Piscataq,O3,1676.08
Sagadaho,O3,6760.98
Somerset,O3,2377.35
Waldo Co,O3,6346.69
Washingt,O3,1582.03
York Cou,O3,10035.81
Allegany,O3,7327.47
Anne Aru,O3,5473.73
Baltimor,O3,6404.92
Calvert,O3,5266.56
Caroline,O3,4683.18
Carroll,O3,6623.07
Cecil Co,O3,5324.6
Charles,O3,7974.15
Dorchest,O3,3439.89
Frederic,O3,6356.64
Garrett,O3,6583.21
Harford,O3,5729.37
Howard C,O3,6272.76
Kent Cou,O3,5014.63
Montgome,O3,6836.3
Prince G,O3,6043.11
Queen An,O3,4911.66
St. Mary,O3,4222.94
Somerset,O3,3032.04
Talbot C,O3,4391.72
Washingt,O3,7047.18
Wicomico,O3,2856.41
Worceste,O3,2718.97
Baltimor,O3,11835.31
Barnstab,O3,6699.29
Berkshir,O3,12229.82
Bristol,O3,12422.31
Dukes Co,O3,5790.27
Essex Co,O3,11221.16
Franklin,O3,12663.22
Hampden,O3,10709.83
Hampshir,O3,13617.27
Middlese,O3,10758.29
Nantucke,O3,2582.49
Norfolk,O3,11954.54
Plymouth,O3,12072.35
Suffolk,O3,6931.98
Worceste,O3,10917.93
Adams Co,O3,5019.83
Alcorn C,O3,3987.85
Amite Co,O3,2928.47
Attala C,O3,3131.12
Benton C,O3,3996.59
Bolivar,O3,4264.0
Calhoun,O3,3877.31
Carroll,O3,3813.24
Chickasa,O3,3150.28
Choctaw,O3,2301.44
Claiborn,O3,4676.3
Clarke C,O3,1340.92
Clay Cou,O3,1822.26
Coahoma,O3,2992.28
Copiah C,O3,4616.58
Covingto,O3,2438.15
DeSoto C,O3,4582.72
Forrest,O3,2116.6
Franklin,O3,3590.39
George C,O3,1784.64
Greene C,O3,1146.8
Grenada,O3,5459.33
Hancock,O3,6070.9
Harrison,O3,7906.99
Hinds Co,O3,5817.19
Holmes C,O3,4151.91
Humphrey,O3,4511.61
Itawamba,O3,1831.07
Jackson,O3,4612.74
Jasper C,O3,2495.09
Jefferso,O3,4306.28
Jefferso,O3,4122.31
Jones Co,O3,1785.35
Kemper C,O3,1103.37
Lafayett,O3,4454.46
Lamar Co,O3,2363.35
Lauderda,O3,2465.54
Lawrence,O3,3555.02
Leake Co,O3,3369.47
Lee Coun,O3,4890.29
Leflore,O3,4319.87
Lincoln,O3,3373.39
Lowndes,O3,1054.35
Madison,O3,5821.59
Marion C,O3,3438.82
Marshall,O3,4127.92
Monroe C,O3,1508.99
Montgome,O3,3493.28
Neshoba,O3,2495.63
Newton C,O3,3424.26
Noxubee,O3,1017.52
Oktibbeh,O3,1662.1
Panola C,O3,4519.97
Pearl Ri,O3,2825.39
Perry Co,O3,1823.84
Pike Cou,O3,3015.78
Pontotoc,O3,5001.68
Prentiss,O3,3046.28
Quitman,O3,3706.31
Rankin C,O3,5167.2
Scott Co,O3,3807.92
Sharkey,O3,4459.64
Simpson,O3,3978.18
Smith Co,O3,3048.07
Stone Co,O3,4155.19
Sunflowe,O3,5279.68
Tallahat,O3,4295.93
Tate Cou,O3,5375.52
Tippah C,O3,4141.79
Tishomin,O3,2118.88
Tunica C,O3,2503.25
Union Co,O3,5045.92
Walthall,O3,3100.66
Warren C,O3,5768.05
Washingt,O3,3827.9
Wayne Co,O3,989.53
Webster,O3,2843.19
Wilkinso,O3,3482.11
Winston,O3,1723.37
Yalobush,O3,4800.93
Yazoo Co,O3,5377.87
Adair Co,O3,3660.72
Andrew C,O3,3977.85
Atchison,O3,3472.65
Audrain,O3,3862.63
Barry Co,O3,2600.54
Barton C,O3,4792.97
Bates Co,O3,4648.09
Benton C,O3,4638.61
Bollinge,O3,3860.7
Boone Co,O3,3741.83
Buchanan,O3,4798.68
Butler C,O3,2288.83
Caldwell,O3,4701.99
Callaway,O3,2218.89
Camden C,O3,3903.36
Cape Gir,O3,3862.1
Carroll,O3,4189.16
Carter C,O3,1959.3
Cass Cou,O3,6416.89
Cedar Co,O3,6157.7
Chariton,O3,3729.07
Christia,O3,4301.82
Clark Co,O3,3862.85
Clay Cou,O3,6602.08
Clinton,O3,5859.32
Cole Cou,O3,2695.25
Cooper C,O3,3549.87
Crawford,O3,2525.65
Dade Cou,O3,5812.67
Dallas C,O3,4841.15
Daviess,O3,4137.72
DeKalb C,O3,4405.07
Dent Cou,O3,2888.09
Douglas,O3,2629.29
Dunklin,O3,2172.67
Franklin,O3,3885.28
Gasconad,O3,2421.11
Gentry C,O3,3956.32
Greene C,O3,7052.24
Grundy C,O3,3780.94
Harrison,O3,3698.02
Henry Co,O3,5201.6
Hickory,O3,4981.17
Holt Cou,O3,3450.73
Howard C,O3,3758.5
Howell C,O3,1808.95
Iron Cou,O3,3962.57
Jackson,O3,8099.13
Jasper C,O3,4566.11
Jefferso,O3,9283.96
Johnson,O3,5229.81
Knox Cou,O3,3918.44
Laclede,O3,3612.78
Lafayett,O3,5104.92
Lawrence,O3,4504.09
Lewis Co,O3,3470.61
Lincoln,O3,3784.47
Linn Cou,O3,3758.1
Livingst,O3,3955.84
McDonald,O3,3470.19
Macon Co,O3,3506.29
Madison,O3,4762.17
Maries C,O3,2529.16
Marion C,O3,3819.91
Mercer C,O3,3636.1
Miller C,O3,3544.24
Mississi,O3,4687.1
Moniteau,O3,3618.9
Monroe C,O3,3960.7
Montgome,O3,3000.77
Morgan C,O3,4329.4
New Madr,O3,3522.36
Newton C,O3,3993.17
Nodaway,O3,3602.62
Oregon C,O3,1861.1
Osage Co,O3,2606.33
Ozark Co,O3,1848.48
Pemiscot,O3,2831.43
Perry Co,O3,4286.19
Pettis C,O3,4173.65
Phelps C,O3,2711.61
Pike Cou,O3,3400.61
Platte C,O3,5847.98
Polk Cou,O3,5677.49
Pulaski,O3,2593.99
Putnam C,O3,3463.9
Ralls Co,O3,4339.41
Randolph,O3,4004.26
Ray Coun,O3,5540.82
Reynolds,O3,2590.36
Ripley C,O3,1844.59
St. Char,O3,5187.48
St. Clai,O3,5240.35
Ste. Gen,O3,8200.1
St. Fran,O3,9548.79
St. Loui,O3,9067.48
Saline C,O3,3962.93
Schuyler,O3,3916.45
Scotland,O3,4227.49
Scott Co,O3,3835.11
Shannon,O3,2195.11
Shelby C,O3,4068.23
Stoddard,O3,2771.88
Stone Co,O3,2837.33
Sullivan,O3,3535.57
Taney Co,O3,2324.23
Texas Co,O3,2381.66
Vernon C,O3,4718.41
Warren C,O3,3501.04
Washingt,O3,4969.41
Wayne Co,O3,2824.84
Webster,O3,4148.31
Wright C,O3,2992.75
St. Loui,O3,9129.31
Beaverhe,O3,2800.79
Big Horn,O3,3453.67
Blaine C,O3,1784.89
Broadwat,O3,1662.26
Carbon C,O3,2804.47
Cascade,O3,1728.36
Chouteau,O3,1977.02
Custer C,O3,4582.01
Dawson C,O3,2736.12
Deer Lod,O3,2640.81
Fergus C,O3,2287.09
Flathead,O3,3089.17
Gallatin,O3,2155.61
Glacier,O3,1084.76
Hill Cou,O3,1807.74
Jefferso,O3,2081.7
Lake Cou,O3,2550.49
Lewis an,O3,1698.63
Lincoln,O3,2236.07
Madison,O3,2150.04
Mineral,O3,2832.0
Missoula,O3,2789.24
Musselsh,O3,3474.71
Park Cou,O3,2894.79
Phillips,O3,2283.47
Pondera,O3,1108.39
Powell C,O3,1841.08
Ravalli,O3,2408.49
Richland,O3,2451.95
Roosevel,O3,1894.09
Rosebud,O3,3410.02
Sanders,O3,2669.87
Sheridan,O3,1684.1
Silver B,O3,2556.98
Stillwat,O3,2950.07
Sweet Gr,O3,2330.98
Teton Co,O3,1249.79
Toole Co,O3,934.82
Valley C,O3,2190.28
Yellowst,O3,3460.22
Adams Co,O3,1630.59
Antelope,O3,1943.31
Boone Co,O3,2080.76
Box Butt,O3,2725.3
Boyd Cou,O3,3174.51
Buffalo,O3,1789.24
Burt Cou,O3,3835.94
Butler C,O3,3063.21
Cass Cou,O3,4896.98
Cedar Co,O3,2955.15
Chase Co,O3,1891.79
Cherry C,O3,3146.27
Cheyenne,O3,1969.64
Clay Cou,O3,1933.16
Colfax C,O3,2805.2
Cuming C,O3,2959.55
Custer C,O3,2361.93
Dakota C,O3,3412.97
Dawes Co,O3,2987.4
Dawson C,O3,2380.62
Dixon Co,O3,3222.32
Dodge Co,O3,3708.13
Douglas,O3,5740.35
Fillmore,O3,2235.26
Furnas C,O3,2401.63
Gage Cou,O3,2731.2
Hall Cou,O3,1536.67
Hamilton,O3,1923.46
Holt Cou,O3,2778.44
Howard C,O3,1797.63
Jefferso,O3,2424.93
Johnson,O3,3192.01
Kearney,O3,1766.96
Keith Co,O3,2407.49
Kimball,O3,2042.12
Knox Cou,O3,2626.46
Lancaste,O3,4536.31
Lincoln,O3,2170.85
Madison,O3,2049.65
Merrick,O3,1766.24
Morrill,O3,2353.36
Nance Co,O3,1685.63
Nemaha C,O3,3300.53
Nuckolls,O3,1899.37
Otoe Cou,O3,3914.22
Pawnee C,O3,2669.54
Phelps C,O3,2107.4
Pierce C,O3,2032.3
Platte C,O3,2239.01
Polk Cou,O3,2238.0
Red Will,O3,1733.55
Richards,O3,3004.56
Saline C,O3,2893.65
Sarpy Co,O3,5592.78
Saunders,O3,4792.09
Scotts B,O3,2373.36
Seward C,O3,3279.0
Sheridan,O3,3000.79
Thayer C,O3,1979.18
Thurston,O3,3251.11
Washingt,O3,4883.32
Wayne Co,O3,2438.13
Webster,O3,1965.34
York Cou,O3,2289.23
Belknap,O3,8823.13
Carroll,O3,8643.39
Cheshire,O3,8710.56
Coos Cou,O3,7502.05
Grafton,O3,8071.86
Hillsbor,O3,9308.56
Merrimac,O3,8425.01
Rockingh,O3,18344.48
Straffor,O3,12363.39
Sullivan,O3,8615.24
Atlantic,O3,3641.49
Bergen C,O3,5341.89
Burlingt,O3,5154.81
Camden C,O3,4497.72
Cape May,O3,2863.25
Cumberla,O3,4015.73
Essex Co,O3,6927.88
Gloucest,O3,4349.93
Hudson C,O3,6618.13
Hunterdo,O3,4957.63
Mercer C,O3,4418.2
Middlese,O3,4526.7
Monmouth,O3,5365.22
Morris C,O3,5015.53
Ocean Co,O3,4379.1
Passaic,O3,6033.18
Salem Co,O3,4469.03
Somerset,O3,4570.45
Sussex C,O3,4812.82
Union Co,O3,5939.84
Warren C,O3,5279.09
Bernalil,O3,5907.63
Catron C,O3,506.32
Chaves C,O3,1205.25
Cibola C,O3,1028.22
Colfax C,O3,802.17
Curry Co,O3,511.11
Dona Ana,O3,3294.03
Eddy Cou,O3,3549.11
Grant Co,O3,264.44
Lea Coun,O3,1106.82
Lincoln,O3,1195.36
Los Alam,O3,2172.14
Luna Cou,O3,634.91
McKinley,O3,1436.33
Otero Co,O3,1891.7
Quay Cou,O3,682.46
Rio Arri,O3,1612.02
Roosevel,O3,588.05
Sandoval,O3,2443.42
San Juan,O3,3032.98
San Migu,O3,1217.38
Santa Fe,O3,2069.11
Sierra C,O3,1026.42
Socorro,O3,1227.91
Taos Cou,O3,1030.73
Torrance,O3,1675.07
Valencia,O3,4023.81
Albany C,O3,4157.59
Allegany,O3,5256.1
Bronx Co,O3,3900.52
Broome C,O3,4464.66
Cattarau,O3,5267.68
Cayuga C,O3,4390.82
Chautauq,O3,4928.88
Chemung,O3,3980.51
Chenango,O3,3953.81
Clinton,O3,3911.35
Columbia,O3,6301.56
Cortland,O3,3975.53
Delaware,O3,3817.49
Dutchess,O3,4345.31
Erie Cou,O3,5640.4
Essex Co,O3,5299.35
Franklin,O3,3277.71
Fulton C,O3,3768.31
Genesee,O3,5374.94
Greene C,O3,4062.31
Hamilton,O3,3909.2
Herkimer,O3,4109.72
Jefferso,O3,5456.67
Kings Co,CO,7887.102988
Lewis Co,O3,4196.34
Livingst,O3,5182.32
Madison,O3,4050.01
Monroe C,O3,6357.68
Montgome,O3,3743.1
Nassau C,O3,3799.74
New York,O3,7215.76
Niagara,O3,4480.09
Oneida C,O3,4352.53
Onondaga,O3,4137.48
Ontario,O3,4783.38
Orange C,O3,5597.79
Orleans,O3,4969.01
Oswego C,O3,4743.62
Otsego C,O3,3682.55
Putnam C,O3,6093.22
Queens C,O3,5059.82
Renssela,O3,13158.33
Richmond,O3,6504.35
Rockland,O3,5394.69
St. Lawr,O3,2743.57
Saratoga,O3,4388.07
Schenect,O3,4077.99
Schohari,O3,3697.68
Schuyler,O3,4005.21
Seneca C,O3,4364.73
Steuben,O3,4805.01
Suffolk,O3,4858.35
Sullivan,O3,4184.56
Tioga Co,O3,4328.07
Tompkins,O3,4073.76
Ulster C,O3,4383.97
Warren C,O3,4604.58
Washingt,O3,5900.06
Wayne Co,O3,4938.81
Westches,O3,4543.48
Wyoming,O3,5299.23
Yates Co,O3,4320.4
Alamance,O3,7408.26
Alexande,O3,7466.74
Alleghan,O3,7513.62
Anson Co,O3,6349.42
Ashe Cou,O3,7263.3
Avery Co,O3,7103.13
Beaufort,O3,5050.39
Bertie C,O3,7410.29
Bladen C,O3,7302.7
Brunswic,O3,7983.04
Buncombe,O3,7529.93
Burke Co,O3,7695.58
Cabarrus,O3,7387.68
Caldwell,O3,7598.14
Camden C,O3,7744.17
Carteret,O3,2683.45
Caswell,O3,7274.78
Catawba,O3,7530.08
Chatham,O3,7233.52
Cherokee,O3,6874.23
Chowan C,O3,7065.16
Clay Cou,O3,6458.62
Clevelan,O3,7568.86
Columbus,O3,6479.18
Craven C,O3,4714.87
Cumberla,O3,7879.45
Currituc,O3,6203.75
Dare Cou,O3,2562.77
Davidson,O3,20265.53
Davie Co,O3,7781.05
Duplin C,O3,8464.54
Durham C,O3,7978.46
Edgecomb,O3,7395.26
Forsyth,O3,10357.01
Franklin,O3,7337.57
Gaston C,O3,7745.25
Gates Co,O3,8916.23
Graham C,O3,7462.73
Granvill,O3,7121.81
Greene C,O3,7617.24
Guilford,O3,10326.49
Halifax,O3,7144.86
Harnett,O3,7915.1
Haywood,O3,9150.27
Henderso,O3,12086.03
Hertford,O3,8082.33
Hoke Cou,O3,6961.74
Hyde Cou,O3,3179.31
Iredell,O3,7173.88
Jackson,O3,8205.26
Johnston,O3,8152.78
Jones Co,O3,5718.67
Lee Coun,O3,6948.46
Lenoir C,O3,7715.97
Lincoln,O3,7566.62
McDowell,O3,8129.27
Macon Co,O3,7094.62
Madison,O3,6882.8
Martin C,O3,7086.65
Mecklenb,O3,7730.87
Mitchell,O3,7217.46
Montgome,O3,6634.05
Moore Co,O3,6466.36
Nash Cou,O3,7256.19
New Hano,O3,14169.05
Northamp,O3,7493.37
Onslow C,O3,5840.96
Orange C,O3,7767.7
Pamlico,O3,3510.37
Pasquota,O3,7390.1
Pender C,O3,10579.24
Perquima,O3,7047.02
Person C,O3,7169.48
Pitt Cou,O3,6920.52
Polk Cou,O3,8993.12
Randolph,O3,6860.2
Richmond,O3,6052.62
Robeson,O3,6606.88
Rockingh,O3,7379.3
Rowan Co,O3,7890.42
Rutherfo,O3,7903.22
Sampson,O3,7884.72
Scotland,O3,6075.94
Stanly C,O3,6995.89
Stokes C,O3,19275.7
Surry Co,O3,7117.87
Swain Co,O3,9411.04
Transylv,O3,9926.63
Tyrrell,O3,3985.39
Union Co,O3,7618.38
Vance Co,O3,6727.48
Wake Cou,O3,8765.23
Warren C,O3,6510.16
Washingt,O3,5410.95
Watauga,O3,6917.45
Wayne Co,O3,7776.56
Wilkes C,O3,6935.77
Wilson C,O3,7453.86
Yadkin C,O3,6670.5
Yancey C,O3,7023.76
Barnes C,O3,3256.67
Benson C,O3,7856.53
Bottinea,O3,2731.52
Bowman C,O3,5273.01
Burleigh,O3,3797.76
Cass Cou,O3,2979.29
Cavalier,O3,2936.34
Dickey C,O3,3255.33
Foster C,O3,6346.11
Grand Fo,O3,2550.9
Griggs C,O3,3471.45
McHenry,O3,3338.08
McKenzie,O3,4725.41
McLean C,O3,4174.0
Mercer C,O3,4989.38
Morton C,O3,4689.04
Mountrai,O3,4926.85
Nelson C,O3,3942.42
Pembina,O3,1947.76
Pierce C,O3,3658.33
Ramsey C,O3,6977.92
Ransom C,O3,3100.36
Richland,O3,3051.11
Rolette,O3,2942.15
Sargent,O3,2867.09
Stark Co,O3,5691.3
Stutsman,O3,4352.36
Traill C,O3,2725.01
Walsh Co,O3,2305.02
Ward Cou,O3,3544.86
Wells Co,O3,4610.73
Williams,O3,3170.87
Adams Co,O3,6282.98
Allen Co,O3,7671.61
Ashland,O3,7543.36
Ashtabul,O3,11175.32
Athens C,O3,8699.06
Auglaize,O3,7593.53
Belmont,O3,8785.18
Brown Co,O3,6042.93
Butler C,O3,8545.15
Carroll,O3,8667.84
Champaig,O3,8746.15
Clark Co,O3,9128.27
Clermont,O3,7684.83
Clinton,O3,8665.99
Columbia,O3,9741.52
Coshocto,O3,7954.64
Crawford,O3,7951.19
Cuyahoga,O3,8990.01
Darke Co,O3,7851.9
Defiance,O3,6616.95
Delaware,O3,8437.23
Erie Cou,O3,8100.0
Fairfiel,O3,8608.24
Fayette,O3,7652.54
Franklin,O3,12309.06
Fulton C,O3,8176.3
Gallia C,O3,8398.56
Geauga C,O3,16058.34
Greene C,O3,9095.89
Guernsey,O3,8231.19
Hamilton,O3,10096.49
Hancock,O3,7833.9
Hardin C,O3,7880.94
Harrison,O3,8746.21
Henry Co,O3,7750.06
Highland,O3,6874.19
Hocking,O3,8059.56
Holmes C,O3,7466.74
Huron Co,O3,7991.48
Jackson,O3,8087.35
Jefferso,O3,9875.98
Knox Cou,O3,7864.11
Lake Cou,O3,35420.51
Lawrence,O3,7745.35
Licking,O3,8678.53
Logan Co,O3,8148.09
Lorain C,O3,10449.39
Lucas Co,O3,10893.46
Madison,O3,9454.7
Mahoning,O3,9774.9
Marion C,O3,7933.33
Medina C,O3,9066.96
Meigs Co,O3,8796.02
Mercer C,O3,6691.71
Miami Co,O3,10302.98
Monroe C,O3,7789.62
Montgome,O3,9121.91
Morgan C,O3,8802.12
Morrow C,O3,8151.77
Muskingu,O3,8016.08
Noble Co,O3,8528.09
Ottawa C,O3,8856.1
Paulding,O3,6243.0
Perry Co,O3,8168.36
Pickaway,O3,8832.8
Pike Cou,O3,7648.69
Portage,O3,10791.37
Preble C,O3,8503.99
Putnam C,O3,7143.63
Richland,O3,7859.3
Ross Cou,O3,7635.64
Sandusky,O3,8265.74
Scioto C,O3,9379.2
Seneca C,O3,7907.8
Shelby C,O3,8453.53
Stark Co,O3,9459.52
Summit C,O3,9744.22
Trumbull,O3,10705.12
Tuscaraw,O3,8630.28
Union Co,O3,8422.38
Van Wert,O3,6361.67
Vinton C,O3,7981.75
Warren C,O3,12221.8
Washingt,O3,9914.32
Wayne Co,O3,8416.68
Williams,O3,6655.19
Wood Cou,O3,9776.16
Wyandot,O3,7776.85
Adair Co,O3,4177.67
Alfalfa,O3,2513.52
Atoka Co,O3,4221.43
Beckham,O3,1384.77
Blaine C,O3,2635.28
Bryan Co,O3,4478.52
Caddo Co,O3,3167.41
Canadian,O3,3489.13
Carter C,O3,5713.9
Cherokee,O3,6713.95
Choctaw,O3,3589.53
Clevelan,O3,4753.01
Coal Cou,O3,4542.38
Comanche,O3,3885.73
Cotton C,O3,4547.82
Craig Co,O3,4660.22
Creek Co,O3,5832.2
Custer C,O3,2056.7
Delaware,O3,4576.2
Dewey Co,O3,2603.49
Ellis Co,O3,1366.68
Garfield,O3,3550.36
Garvin C,O3,4881.3
Grady Co,O3,4275.98
Grant Co,O3,3284.46
Greer Co,O3,1319.24
Harmon C,O3,1044.57
Harper C,O3,1411.0
Haskell,O3,3590.65
Hughes C,O3,4423.37
Jackson,O3,1203.41
Jefferso,O3,5577.3
Johnston,O3,5601.59
Kay Coun,O3,6578.25
Kingfish,O3,3141.41
Kiowa Co,O3,1941.66
Latimer,O3,3765.37
Le Flore,O3,1868.94
Lincoln,O3,4839.92
Logan Co,O3,4279.53
Love Cou,O3,6151.17
McClain,O3,4840.43
McCurtai,O3,1894.44
McIntosh,O3,4201.74
Marshall,O3,6918.33
Mayes Co,O3,5290.53
Murray C,O3,4876.15
Muskogee,O3,4952.18
Noble Co,O3,5540.3
Nowata C,O3,4423.9
Okfuskee,O3,4758.98
Oklahoma,O3,4670.98
Okmulgee,O3,4593.91
Osage Co,O3,5478.41
Ottawa C,O3,5186.6
Pawnee C,O3,5887.13
Payne Co,O3,5242.02
Pittsbur,O3,4436.58
Pontotoc,O3,4694.05
Pottawat,O3,4663.25
Pushmata,O3,3464.09
Rogers C,O3,5228.01
Seminole,O3,4473.69
Sequoyah,O3,3344.09
Stephens,O3,5176.36
Texas Co,O3,862.98
Tillman,O3,2050.83
Tulsa Co,O3,5985.78
Wagoner,O3,5546.05
Washingt,O3,4412.23
Washita,O3,2028.98
Woods Co,O3,2050.62
Baker Co,O3,3317.19
Benton C,O3,6393.39
Clackama,O3,9136.35
Clatsop,O3,4157.79
Columbia,O3,8035.88
Coos Cou,O3,2279.08
Crook Co,O3,2419.96
Curry Co,O3,1438.87
Deschute,O3,3199.29
Douglas,O3,4937.58
Grant Co,O3,2591.72
Harney C,O3,1539.51
Hood Riv,O3,8272.73
Jackson,O3,6557.5
Jefferso,O3,4162.52
Josephin,O3,2478.94
Klamath,CO,2921.851295
Lake Cou,O3,1532.26
Lane Cou,O3,9861.33
Lincoln,O3,3884.19
Linn Cou,O3,8378.38
Malheur,O3,2326.69
Marion C,O3,9673.55
Morrow C,O3,3228.7
Multnoma,O3,12085.88
Polk Cou,O3,6215.52
Tillamoo,O3,4162.93
Umatilla,O3,3267.28
Union Co,O3,3720.23
Wallowa,O3,3790.97
Wasco Co,O3,6437.79
Washingt,O3,8109.78
Yamhill,O3,6403.55
Adams Co,O3,7590.19
Alleghen,O3,6104.83
Armstron,O3,7918.03
Beaver C,O3,9439.97
Bedford,O3,7381.48
Berks Co,O3,7788.41
Blair Co,O3,7907.8
Bradford,O3,5488.38
Bucks Co,O3,6858.52
Butler C,O3,6729.25
Cambria,O3,8049.01
Cameron,O3,6546.67
Carbon C,O3,7759.28
Centre C,O3,7889.17
Chester,O3,9739.15
Clarion,O3,6687.84
Clearfie,O3,8459.16
Clinton,O3,7746.23
Columbia,O3,7208.79
Crawford,O3,7807.75
Cumberla,O3,8116.31
Dauphin,O3,7867.68
Delaware,O3,7611.97
Elk Coun,O3,6595.24
Erie Cou,O3,8183.36
Fayette,O3,7729.94
Forest C,O3,5672.33
Franklin,O3,7286.54
Fulton C,O3,7239.99
Greene C,O3,9706.18
Huntingd,O3,7717.0
Indiana,O3,7839.45
Jefferso,O3,6954.91
Juniata,O3,8005.77
Lackawan,O3,8023.04
Lancaste,O3,8722.96
Lawrence,O3,9521.46
Lebanon,O3,7940.83
Lehigh C,O3,8177.0
Luzerne,O3,7984.78
Lycoming,O3,8295.82
Mc Kean,O3,5606.11
Mercer C,O3,8747.79
Mifflin,O3,8065.88
Monroe C,O3,6753.38
Montgome,O3,9131.35
Montour,O3,7520.02
Northamp,O3,8018.07
Northumb,O3,7505.8
Perry Co,O3,8284.77
Philadel,O3,5098.46
Pike Cou,O3,5232.66
Potter C,O3,5981.33
Schuylki,O3,7475.2
Snyder C,O3,7909.33
Somerset,O3,7560.98
Sullivan,O3,6807.23
Susqueha,O3,5250.12
Tioga Co,O3,6256.31
Union Co,O3,7962.49
Venango,O3,6038.56
Warren C,O3,5294.74
Washingt,O3,9667.2
Wayne Co,O3,5188.21
Westmore,O3,8802.21
Wyoming,O3,6490.69
York Cou,O3,8400.31
Bristol,O3,11143.87
Kent Cou,O3,11518.4
Newport,O3,10390.83
Providen,O3,12236.49
Washingt,O3,9176.04
Abbevill,O3,7053.68
Aiken Co,O3,7027.16
Allendal,O3,5831.68
Anderson,O3,8085.54
Bamberg,O3,7175.31
Barnwell,O3,5985.86
Beaufort,O3,4925.17
Berkeley,O3,6223.05
Calhoun,O3,7393.85
Charlest,CO,24815.73931
Cherokee,O3,7409.96
Chester,O3,7933.86
Chesterf,O3,5914.13
Clarendo,O3,6236.04
Colleton,O3,6107.58
Darlingt,O3,5820.74
Dillon C,O3,6155.8
Dorchest,O3,6337.72
Edgefiel,O3,5712.17
Fairfiel,O3,7052.89
Florence,O3,6529.85
Georgeto,O3,5653.03
Greenvil,O3,11329.68
Greenwoo,O3,6672.96
Hampton,O3,5906.68
Horry Co,O3,5596.45
Jasper C,O3,5343.18
Kershaw,O3,6011.73
Lancaste,O3,6841.61
Laurens,O3,7613.51
Lee Coun,O3,5863.92
Lexingto,O3,7887.29
McCormic,O3,5377.79
Marion C,O3,6402.14
Marlboro,O3,5848.56
Newberry,O3,7005.34
Oconee C,O3,7315.81
Orangebu,O3,7282.52
Pickens,O3,8969.47
Richland,O3,7355.8
Saluda C,O3,6547.05
Spartanb,O3,7939.97
Sumter C,O3,5923.59
Union Co,O3,7464.81
Williams,O3,7281.12
York Cou,O3,8646.58
Aurora C,O3,3636.82
Beadle C,O3,3131.28
Bon Homm,O3,3013.71
Brooking,O3,3781.54
Brown Co,O3,3123.63
Brule Co,O3,3493.75
Butte Co,O3,5471.91
Charles,O3,3497.4
Clark Co,O3,3021.63
Clay Cou,O3,4151.07
Codingto,O3,2654.78
Custer C,O3,5181.68
Davison,O3,3585.34
Day Coun,O3,2907.54
Deuel Co,O3,2819.46
Douglas,O3,3605.83
Fall Riv,O3,3994.17
Grant Co,O3,2827.48
Gregory,O3,3353.03
Hamlin C,O3,2869.64
Hughes C,O3,3972.6
Hutchins,O3,3205.0
Kingsbur,O3,3280.7
Lake Cou,O3,3760.68
Lawrence,O3,5790.43
Lincoln,O3,8595.05
McCook C,O3,4115.43
Meade Co,O3,5185.5
Minnehah,O3,10071.42
Moody Co,O3,5533.15
Penningt,O3,5923.54
Potter C,O3,3718.65
Roberts,O3,2979.5
Shannon,O3,4173.56
Spink Co,O3,3099.93
Tripp Co,O3,3586.19
Turner C,O3,4635.51
Union Co,O3,4653.87
Walworth,O3,3664.46
Yankton,O3,3588.69
Anderson,O3,80276.76
Bedford,O3,1814.94
Benton C,O3,10199.03
Bledsoe,O3,6424.06
Blount C,O3,8339.57
Bradley,O3,7831.55
Campbell,O3,13130.68
Cannon C,O3,3283.98
Carroll,O3,6386.88
Carter C,O3,6871.79
Cheatham,O3,29113.86
Chester,O3,4145.31
Claiborn,O3,5903.5
Clay Cou,O3,8631.62
Cocke Co,O3,7310.23
Coffee C,O3,1890.14
Crockett,O3,3850.24
Cumberla,O3,11444.97
Davidson,O3,7891.99
Decatur,O3,9580.63
DeKalb C,O3,4512.26
Dickson,O3,63330.85
Dyer Cou,O3,4162.09
Fayette,O3,2896.8
Fentress,O3,10346.91
Franklin,O3,1208.76
Gibson C,O3,5132.98
Giles Co,O3,2058.81
Grainger,O3,6660.59
Greene C,O3,7338.57
Grundy C,O3,2384.83
Hamblen,O3,7250.09
Hamilton,O3,8287.99
Hancock,O3,6367.9
Hardeman,O3,3505.21
Hardin C,O3,5180.11
Hawkins,O3,6925.97
Haywood,O3,3081.39
Henderso,O3,5984.14
Henry Co,O3,7289.01
Hickman,O3,75083.06
Houston,O3,16558.68
Humphrey,O3,19158.29
Jackson,O3,7792.35
Jefferso,O3,7195.67
Johnson,O3,6825.47
Knox Cou,O3,12955.98
Lake Cou,O3,4492.55
Lauderda,O3,2327.77
Lawrence,O3,54516.81
Lewis Co,O3,58073.97
Lincoln,O3,1071.08
Loudon C,O3,44900.72
McMinn C,O3,10698.36
McNairy,O3,3898.79
Macon Co,O3,9643.93
Madison,O3,3959.54
Marion C,O3,1981.81
Marshall,O3,2489.38
Maury Co,O3,28543.37
Meigs Co,O3,10226.39
