County,Highest Parts Per Million Value,Highest Parts Per Million
Yolo Cou,15.4,PM10
Yuba Cou,15.79,PM10
Adams Co,9.54,PM10
Alamosa,19.12,PM10
Arapahoe,9.37,PM10
Archulet,21.49,PM10
Baca Cou,6.32,PM10
Bent Cou,8.83,PM10
Boulder,17.3,PM10
Chaffee,12.47,PM10
Clear Cr,14.15,PM10
Conejos,13.96,PM10
Costilla,11.6,PM10
Custer C,12.19,PM10
Delta Co,19.72,PM10
Denver C,24.51,PM10
Douglas,16.5,PM10
Eagle Co,13.59,PM10
Elbert C,7.91,PM10
El Paso,13.95,PM10
Fremont,13.4,PM10
Garfield,16.95,PM10
Grand Co,11.81,PM10
Gunnison,19.57,PM10
Huerfano,10.01,PM10
Jefferso,17.64,PM10
Kit Cars,6.51,PM10
La Plata,16.08,PM10
Larimer,13.1,PM10
Las Anim,6.28,PM10
Lincoln,6.69,PM10
Logan Co,5.51,PM2.5
Mesa Cou,22.86,PM10
Moffat C,7.15,PM10
Montezum,9.28,PM10
Montrose,14.53,PM10
Morgan C,5.93,PM2.5
Otero Co,7.19,PM10
Park Cou,12.71,PM10
Phillips,5.43,PM10
Pitkin C,18.81,PM10
Prowers,12.01,PM10
Pueblo C,16.33,PM10
Rio Gran,13.77,PM10
Routt Co,16.54,PM10
Summit C,16.14,PM10
Teller C,19.23,PM10
Weld Cou,9.92,PM10
Yuma Cou,6.27,PM10
Fairfiel,16.47,PM10
Hartford,14.78,PM10
Litchfie,11.72,PM10
Middlese,15.47,PM10
New Have,18.52,PM10
New Lond,13.59,PM10
Tolland,14.63,PM10
Windham,13.4,PM10
Kent Cou,12.09,PM2.5
New Cast,15.03,PM10
Sussex C,10.14,PM2.5
District,24.93,PM10
Alachua,18.23,PM10
Baker Co,14.16,PM10
Bay Coun,15.78,PM10
Bradford,16.7,PM10
Brevard,12.1,PM10
Broward,13.61,PM10
Calhoun,12.08,PM10
Charlott,11.71,PM10
Citrus C,9.0,PM2.5
Clay Cou,19.27,PM10
Collier,8.97,PM10
Columbia,14.4,PM10
DeSoto C,9.68,PM10
Dixie Co,9.22,PM2.5
Duval Co,25.2,PM10
Escambia,18.49,PM10
Flagler,16.87,PM10
Franklin,10.13,PM2.5
Gadsden,11.5,PM10
Gilchris,10.31,PM10
Glades C,10.53,PM10
Gulf Cou,10.34,PM10
Hamilton,12.57,PM10
Hardee C,9.94,PM10
Hendry C,10.3,PM10
Hernando,8.84,PM2.5
Highland,10.02,PM10
Hillsbor,24.38,PM10
Holmes C,13.02,PM10
Indian R,11.02,PM10
Jackson,13.23,PM10
Jefferso,10.56,PM2.5
Lafayett,9.64,PM2.5
Lake Cou,15.4,PM10
Lee Coun,15.93,PM10
Leon Cou,11.57,PM2.5
Levy Cou,9.17,PM2.5
Liberty,11.05,PM10
Madison,10.59,PM2.5
Manatee,16.38,PM10
Marion C,13.22,PM10
Martin C,13.03,PM10
Monroe C,7.88,PM10
Nassau C,19.71,PM10
Okaloosa,12.24,PM10
Okeechob,11.37,PM10
Orange C,19.41,PM10
Osceola,11.53,PM10
Palm Bea,15.97,PM10
Pasco Co,12.15,PM10
Pinellas,22.46,PM10
Polk Cou,12.09,PM10
Putnam C,21.33,PM10
St. John,17.79,PM10
St. Luci,14.13,PM10
Santa Ro,15.72,PM10
Sarasota,16.04,PM10
Seminole,18.18,PM10
Sumter C,10.76,PM10
Suwannee,10.82,PM10
Taylor C,10.09,PM2.5
Volusia,18.18,PM10
Wakulla,11.22,PM10
Walton C,11.62,PM10
Washingt,13.17,PM10
Appling,11.54,PM2.5
Atkinson,11.5,PM2.5
Bacon Co,11.47,PM2.5
Baker Co,13.1,PM10
Baldwin,15.31,PM10
Banks Co,12.72,PM2.5
Barrow C,13.2,PM2.5
Bartow C,15.08,PM10
Ben Hill,12.01,PM2.5
Berrien,11.48,PM2.5
Bibb Cou,20.54,PM10
Bleckley,13.62,PM10
Brantley,12.77,PM10
Brooks C,11.16,PM2.5
Bryan Co,13.93,PM10
Bulloch,11.38,PM2.5
Burke Co,13.32,PM10
Butts Co,15.68,PM10
Calhoun,13.51,PM10
Camden C,19.12,PM10
Candler,11.73,PM2.5
Carroll,14.97,PM10
Catoosa,17.02,PM10
Charlton,13.18,PM10
Chatham,20.17,PM10
Chattaho,17.21,PM10
Chattoog,16.4,PM10
Cherokee,14.56,PM10
Clarke C,15.32,PM2.5
Clay Cou,14.14,PM10
Clayton,20.2,PM10
Clinch C,11.27,PM10
Cobb Cou,19.91,PM10
Coffee C,11.61,PM2.5
Colquitt,11.61,PM10
Columbia,13.79,PM10
Cook Cou,11.44,PM2.5
Coweta C,16.19,PM10
Crawford,15.82,PM10
Crisp Co,13.15,PM10
Dade Cou,15.17,PM10
Dawson C,13.04,PM2.5
Decatur,11.64,PM10
DeKalb C,18.49,PM10
Dodge Co,12.18,PM2.5
Dooly Co,13.44,PM10
Doughert,16.35,PM10
Douglas,18.96,PM10
Early Co,13.71,PM10
Effingha,13.44,PM10
Elbert C,12.73,PM2.5
Emanuel,12.11,PM2.5
Evans Co,11.61,PM2.5
Fannin C,12.94,PM2.5
Fayette,18.97,PM10
Floyd Co,18.34,PM10
Forsyth,13.24,PM2.5
Franklin,12.49,PM2.5
Fulton C,25.84,PM10
Gilmer C,12.95,PM2.5
Glynn Co,18.72,PM10
Gordon C,14.47,PM10
Grady Co,11.25,PM10
Greene C,12.88,PM2.5
Gwinnett,15.21,PM2.5
Habersha,12.41,PM2.5
Hall Cou,14.75,PM2.5
Hancock,13.62,PM10
Haralson,15.09,PM10
Harris C,16.88,PM10
Hart Cou,12.59,PM2.5
Heard Co,14.19,PM10
Henry Co,17.37,PM10
Houston,15.17,PM10
Irwin Co,11.83,PM2.5
Jackson,13.07,PM2.5
Jasper C,14.77,PM10
Jeff Dav,11.79,PM2.5
Jefferso,13.54,PM10
Jenkins,11.97,PM2.5
Johnson,13.12,PM10
