County,Highest Parts Per Million Value,Highest Parts Per Million
De Soto,10.66,PM2.5
East Bat,22.18,PM10
East Car,11.0,PM2.5
East Fel,11.68,PM10
Evangeli,9.98,PM2.5
Franklin,10.35,PM2.5
Grant Pa,10.33,PM2.5
Iberia P,9.27,PM2.5
Ibervill,14.0,PM10
Jackson,10.89,PM2.5
Jefferso,15.74,PM10
Jefferso,9.79,PM2.5
Lafayett,10.93,PM2.5
Lafourch,10.68,PM10
La Salle,10.39,PM2.5
Lincoln,10.9,PM2.5
Livingst,12.6,PM10
Madison,10.82,PM2.5
Morehous,11.02,PM2.5
Natchito,10.62,PM2.5
Orleans,12.79,PM10
Ouachita,11.26,PM2.5
Plaquemi,8.75,PM2.5
Pointe C,10.08,PM10
Rapides,10.6,PM2.5
Red Rive,10.69,PM2.5
Richland,10.84,PM2.5
Sabine P,10.59,PM2.5
St. Bern,9.54,PM2.5
St. Char,24.78,PM10
St. Hele,10.46,PM10
St. Jame,11.69,PM10
St. John,14.95,PM10
St. Land,10.05,PM2.5
St. Mart,9.62,PM2.5
St. Tamm,10.47,PM2.5
Tangipah,10.42,PM2.5
Tensas P,10.56,PM2.5
Terrebon,8.58,PM2.5
Union Pa,11.01,PM2.5
Vermilio,9.46,PM2.5
Vernon P,10.29,PM2.5
Washingt,10.18,PM2.5
Webster,10.83,PM2.5
West Bat,21.81,PM10
West Car,10.96,PM2.5
West Fel,10.04,PM2.5
Winn Par,10.58,PM2.5
Androsco,17.51,PM10
Aroostoo,12.01,PM10
Cumberla,17.34,PM10
Franklin,7.61,PM2.5
Hancock,7.79,PM10
Kennebec,15.07,PM10
Knox Cou,12.13,PM10
Lincoln,12.7,PM10
Oxford C,10.21,PM10
Penobsco,8.05,PM10
Piscataq,7.11,PM2.5
Sagadaho,14.93,PM10
Somerset,7.51,PM2.5
Waldo Co,11.37,PM10
Washingt,5.85,PM2.5
York Cou,12.86,PM10
Allegany,12.48,PM10
Anne Aru,16.86,PM10
Baltimor,18.82,PM10
Calvert,12.02,PM10
Caroline,10.55,PM2.5
Carroll,15.36,PM10
Cecil Co,13.47,PM10
Charles,14.57,PM10
Dorchest,9.56,PM10
Frederic,14.12,PM10
Garrett,11.32,PM2.5
Harford,14.68,PM10
Howard C,18.61,PM10
Kent Cou,11.0,PM10
Montgome,17.52,PM10
Prince G,20.58,PM10
Queen An,10.69,PM2.5
St. Mary,11.6,PM10
Somerset,9.94,PM2.5
Talbot C,10.2,PM2.5
Washingt,15.95,PM10
Wicomico,9.9,PM10
Worceste,9.83,PM2.5
Baltimor,24.54,PM10
Barnstab,6.92,PM2.5
Berkshir,10.64,PM10
Bristol,12.43,PM10
Dukes Co,7.2,PM2.5
Essex Co,14.45,PM10
Franklin,14.23,PM10
Hampden,19.96,PM10
Hampshir,14.58,PM10
Middlese,17.71,PM10
Nantucke,6.08,PM2.5
Norfolk,17.79,PM10
Plymouth,9.04,PM10
Suffolk,20.77,PM10
Worceste,16.25,PM10
Adams Co,10.83,PM2.5
Alcorn C,11.5,PM2.5
Amite Co,10.06,PM2.5
Attala C,11.56,PM2.5
Benton C,11.65,PM2.5
Bolivar,11.43,PM2.5
Calhoun,11.58,PM2.5
Carroll,11.48,PM2.5
Chickasa,11.82,PM2.5
Choctaw,11.71,PM2.5
Claiborn,10.88,PM2.5
Clarke C,11.6,PM2.5
Clay Cou,11.94,PM2.5
Coahoma,11.2,PM2.5
Copiah C,10.81,PM2.5
Covingto,11.1,PM2.5
DeSoto C,12.52,PM10
Forrest,11.48,PM2.5
Franklin,10.67,PM2.5
George C,11.12,PM10
Greene C,11.19,PM2.5
Grenada,11.39,PM2.5
Hancock,10.99,PM2.5
Harrison,11.41,PM2.5
Hinds Co,11.23,PM2.5
Holmes C,11.69,PM2.5
Humphrey,11.39,PM2.5
Itawamba,11.37,PM2.5
Jackson,13.05,PM10
Jasper C,11.45,PM2.5
Jefferso,10.61,PM2.5
Jefferso,10.88,PM2.5
Jones Co,12.7,PM2.5
Kemper C,11.6,PM2.5
Lafayett,11.62,PM2.5
Lamar Co,11.0,PM2.5
Lauderda,12.46,PM2.5
Lawrence,10.64,PM2.5
Leake Co,11.79,PM2.5
Lee Coun,12.14,PM2.5
Leflore,11.41,PM2.5
Lincoln,10.6,PM2.5
Lowndes,12.86,PM2.5
Madison,11.73,PM2.5
Marion C,10.67,PM2.5
Marshall,11.64,PM2.5
Monroe C,11.52,PM2.5
Montgome,11.53,PM2.5
Neshoba,11.93,PM2.5
Newton C,11.69,PM2.5
Noxubee,11.55,PM2.5
Oktibbeh,12.02,PM2.5
Panola C,11.46,PM2.5
Pearl Ri,10.82,PM2.5
Perry Co,11.11,PM2.5
Pike Cou,10.23,PM2.5
Pontotoc,11.75,PM2.5
Prentiss,11.58,PM2.5
Quitman,11.37,PM2.5
Rankin C,11.56,PM2.5
Scott Co,11.55,PM2.5
Sharkey,11.34,PM2.5
Simpson,10.93,PM2.5
Smith Co,11.25,PM2.5
Stone Co,10.98,PM2.5
Sunflowe,11.36,PM2.5
Tallahat,11.46,PM2.5
Tate Cou,11.84,PM2.5
Tippah C,11.6,PM2.5
Tishomin,11.69,PM2.5
Tunica C,11.39,PM2.5
Union Co,11.71,PM2.5
Walthall,10.31,PM2.5
Warren C,11.87,PM2.5
Washingt,11.06,PM2.5
Wayne Co,11.44,PM2.5
Webster,11.65,PM2.5
Wilkinso,10.25,PM2.5
Winston,12.01,PM2.5
Yalobush,11.3,PM2.5
Yazoo Co,11.56,PM2.5
Adair Co,10.08,PM2.5
Andrew C,17.62,PM10
Atchison,12.0,PM10
Audrain,9.2,PM2.5
Barry Co,12.2,PM10
Barton C,19.15,PM10
Bates Co,11.1,PM10
Benton C,9.74,PM2.5
Bollinge,9.87,PM2.5
Boone Co,11.12,PM2.5
Buchanan,26.67,PM10
Butler C,10.64,PM2.5
Caldwell,10.49,PM10
Callaway,9.15,PM2.5
Camden C,9.63,PM2.5
Cape Gir,9.97,PM2.5
Carroll,9.63,PM2.5
Carter C,10.28,PM2.5
Cass Cou,13.25,PM10
Cedar Co,11.82,PM10
Chariton,9.54,PM2.5
Christia,11.66,PM10
Clark Co,15.05,PM10
Clay Cou,16.39,PM10
Clinton,14.56,PM10
Cole Cou,9.63,PM2.5
Cooper C,9.86,PM2.5
Crawford,9.28,PM2.5
Dade Cou,14.4,PM10
Dallas C,9.57,PM2.5
Daviess,9.14,PM10
DeKalb C,12.78,PM10
Dent Cou,9.26,PM2.5
Douglas,10.7,PM2.5
Dunklin,11.49,PM2.5
Franklin,9.97,PM2.5
Gasconad,9.76,PM2.5
Gentry C,10.58,PM10
Greene C,16.24,PM10
Grundy C,9.24,PM2.5
Harrison,8.93,PM2.5
Henry Co,9.56,PM10
Hickory,9.63,PM2.5
Holt Cou,13.74,PM10
Howard C,9.93,PM2.5
Howell C,11.32,PM2.5
Iron Cou,9.78,PM2.5
Jackson,15.63,PM10
Jasper C,35.99,PM10
Jefferso,10.67,PM2.5
Johnson,9.83,PM10
Knox Cou,10.17,PM2.5
Laclede,10.39,PM2.5
Lafayett,9.71,PM10
Lawrence,15.08,PM10
Lewis Co,11.54,PM10
Lincoln,11.27,PM10
Linn Cou,9.47,PM2.5
Livingst,9.37,PM2.5
McDonald,14.7,PM10
Macon Co,9.87,PM2.5
Madison,9.98,PM2.5
Maries C,9.49,PM2.5
Marion C,10.83,PM10
Mercer C,9.34,PM2.5
Miller C,10.46,PM2.5
Mississi,11.55,PM2.5
Moniteau,9.97,PM2.5
Monroe C,9.25,PM2.5
Montgome,9.64,PM2.5
Morgan C,9.8,PM2.5
New Madr,10.96,PM2.5
Newton C,20.59,PM10
Nodaway,11.76,PM10
Oregon C,11.07,PM2.5
Osage Co,9.32,PM2.5
Ozark Co,10.74,PM2.5
Pemiscot,11.55,PM2.5
Perry Co,10.39,PM2.5
Pettis C,9.85,PM2.5
Phelps C,9.17,PM2.5
Pike Cou,9.88,PM2.5
Platte C,21.92,PM10
Polk Cou,10.98,PM10
Pulaski,9.76,PM2.5
Putnam C,9.91,PM2.5
Ralls Co,10.68,PM10
Randolph,9.84,PM2.5
Ray Coun,10.89,PM10
Reynolds,9.32,PM2.5
Ripley C,10.7,PM2.5
St. Char,12.46,PM10
St. Clai,9.99,PM10
Ste. Gen,11.14,PM2.5
St. Fran,10.36,PM2.5
St. Loui,14.85,PM10
Saline C,9.69,PM2.5
Schuyler,10.24,PM2.5
Scotland,11.99,PM10
Scott Co,10.43,PM2.5
Shannon,10.1,PM2.5
Shelby C,9.34,PM2.5
Stoddard,10.91,PM2.5
Stone Co,10.86,PM10
Sullivan,9.39,PM2.5
Taney Co,10.57,PM2.5
Texas Co,10.33,PM2.5
Vernon C,12.95,PM10
Warren C,10.01,PM2.5
Washingt,9.75,PM2.5
Wayne Co,9.83,PM2.5
Webster,10.44,PM2.5
Wright C,11.15,PM2.5
St. Loui,22.77,PM10
Beaverhe,9.1,PM10
Big Horn,9.36,PM10
Blaine C,4.54,PM2.5
Broadwat,11.01,PM10
Carbon C,8.47,PM10
Cascade,6.34,PM10
Chouteau,5.5,PM2.5
Custer C,5.14,PM2.5
Dawson C,4.73,PM2.5
Deer Lod,11.76,PM10
Fergus C,5.38,PM2.5
Flathead,18.12,PM10
Gallatin,15.38,PM10
Glacier,13.58,PM10
Hill Cou,4.83,PM2.5
Jefferso,14.12,PM10
Lake Cou,18.74,PM10
Lewis an,11.97,PM10
Lincoln,16.26,PM10
Madison,9.7,PM10
Mineral,10.93,PM10
Missoula,18.12,PM10
Musselsh,6.22,PM10
Park Cou,8.56,PM10
Phillips,4.65,PM2.5
Pondera,6.58,PM10
Powell C,13.75,PM10
Ravalli,14.32,PM10
Richland,4.54,PM2.5
Roosevel,4.47,PM10
Rosebud,7.2,PM10
Sanders,12.87,PM10
Sheridan,4.08,PM2.5
Silver B,14.69,PM10
Stillwat,6.81,PM10
Sweet Gr,6.46,PM2.5
Teton Co,7.31,PM10
Toole Co,5.49,PM2.5
Valley C,4.29,PM2.5
Yellowst,11.02,PM10
Adams Co,6.95,PM2.5
Antelope,7.37,PM2.5
Boone Co,7.2,PM2.5
Box Butt,5.36,PM2.5
Boyd Cou,6.8,PM2.5
Buffalo,7.06,PM10
Burt Cou,13.37,PM10
Butler C,8.28,PM10
Cass Cou,28.28,PM10
Cedar Co,9.19,PM10
Chase Co,6.27,PM10
Cherry C,5.59,PM2.5
Cheyenne,5.38,PM2.5
Clay Cou,7.41,PM2.5
Colfax C,8.9,PM10
Cuming C,10.49,PM10
Custer C,10.02,PM10
Dakota C,15.79,PM10
Dawes Co,5.28,PM2.5
Dawson C,18.47,PM10
Dixon Co,11.28,PM10
Dodge Co,10.8,PM10
Douglas,27.35,PM10
Fillmore,7.66,PM2.5
Furnas C,8.22,PM10
Gage Cou,8.0,PM2.5
Hall Cou,7.09,PM2.5
Hamilton,7.43,PM2.5
Holt Cou,6.79,PM2.5
Howard C,6.96,PM2.5
Jefferso,8.1,PM2.5
Johnson,11.46,PM10
Kearney,6.69,PM10
Keith Co,5.7,PM10
Kimball,5.39,PM2.5
Knox Cou,7.53,PM2.5
Lancaste,10.0,PM10
Lincoln,8.42,PM10
Madison,7.7,PM2.5
Merrick,7.41,PM2.5
Morrill,5.39,PM2.5
Nance Co,7.28,PM2.5
Nemaha C,12.36,PM10
Nuckolls,7.4,PM2.5
Otoe Cou,16.74,PM10
Pawnee C,9.49,PM10
Phelps C,8.31,PM10
Pierce C,7.82,PM2.5
Platte C,7.71,PM2.5
Polk Cou,7.88,PM2.5
Red Will,8.46,PM10
Richards,11.53,PM10
Saline C,8.01,PM2.5
Sarpy Co,29.56,PM10
Saunders,11.4,PM10
Scotts B,5.65,PM2.5
Seward C,7.83,PM10
Sheridan,5.05,PM2.5
Thayer C,7.54,PM2.5
Thurston,13.32,PM10
Washingt,17.74,PM10
Wayne Co,9.54,PM10
Webster,6.91,PM2.5
York Cou,7.84,PM2.5
Belknap,10.01,PM10
Carroll,9.48,PM10
Cheshire,15.8,PM10
Coos Cou,8.78,PM10
Grafton,8.86,PM10
Hillsbor,13.53,PM10
Merrimac,11.14,PM10
Rockingh,14.31,PM10
Straffor,12.38,PM10
Sullivan,10.39,PM10
Atlantic,15.12,PM10
Bergen C,24.47,PM10
Burlingt,15.53,PM10
Camden C,18.73,PM10
Cape May,10.18,PM10
Cumberla,11.44,PM10
Essex Co,22.65,PM10
Gloucest,18.39,PM10
Hudson C,29.41,PM10
Hunterdo,17.13,PM10
Mercer C,19.6,PM10
Middlese,14.52,PM10
Monmouth,11.9,PM10
Morris C,13.63,PM10
Ocean Co,11.46,PM10
Passaic,15.91,PM10
Salem Co,15.8,PM10
Somerset,16.03,PM10
Sussex C,12.38,PM10
Union Co,21.03,PM10
Warren C,15.59,PM10
Bernalil,28.03,PM10
Catron C,7.13,PM10
Chaves C,16.07,PM10
Cibola C,6.5,PM10
Colfax C,5.99,PM10
Curry Co,5.62,PM2.5
Dona Ana,17.1,PM10
Eddy Cou,6.14,PM10
Grant Co,13.2,PM10
Lea Coun,9.94,PM10
Lincoln,5.87,PM10
Los Alam,12.13,PM10
Luna Cou,15.29,PM10
McKinley,6.44,PM10
Otero Co,8.35,PM10
Quay Cou,5.63,PM2.5
Rio Arri,9.63,PM10
Roosevel,5.63,PM2.5
Sandoval,15.91,PM10
San Juan,10.03,PM10
San Migu,5.74,PM10
Santa Fe,10.4,PM10
Sierra C,7.42,PM10
Socorro,6.42,PM10
Taos Cou,12.3,PM10
Torrance,7.12,PM10
Valencia,11.85,PM10
Albany C,9.42,PM2.5
Allegany,10.87,PM2.5
Bronx Co,21.36,PM10
Broome C,10.42,PM2.5
Cattarau,10.6,PM2.5
Cayuga C,9.67,PM2.5
Chautauq,10.24,PM2.5
Chemung,10.19,PM2.5
Chenango,9.74,PM2.5
Clinton,7.26,PM10
Columbia,11.02,PM10
Cortland,9.64,PM2.5
Delaware,9.86,PM2.5
Dutchess,10.07,PM10
Erie Cou,11.3,PM2.5
Essex Co,8.51,PM10
Franklin,6.94,PM10
Fulton C,9.12,PM2.5
Genesee,9.97,PM2.5
Greene C,9.17,PM2.5
Hamilton,8.32,PM2.5
Herkimer,8.79,PM2.5
Jefferso,8.01,PM2.5
Kings Co,16.68,PM10
Lewis Co,8.27,PM2.5
Livingst,10.16,PM2.5
Madison,9.38,PM2.5
Monroe C,10.21,PM2.5
Montgome,9.43,PM2.5
Nassau C,16.67,PM10
New York,24.97,PM10
Niagara,9.84,PM2.5
Oneida C,9.12,PM2.5
Onondaga,10.14,PM2.5
Ontario,9.87,PM2.5
Orange C,10.99,PM10
Orleans,9.58,PM2.5
Oswego C,8.94,PM2.5
Otsego C,9.57,PM2.5
Putnam C,11.61,PM10
Queens C,15.8,PM10
Renssela,9.69,PM10
Richmond,17.79,PM10
Rockland,16.34,PM10
St. Lawr,7.36,PM2.5
Saratoga,8.86,PM2.5
Schenect,9.08,PM2.5
Schohari,9.79,PM2.5
Schuyler,10.21,PM2.5
Seneca C,9.77,PM2.5
Steuben,10.34,PM2.5
Suffolk,11.64,PM10
Sullivan,9.16,PM2.5
Tioga Co,10.11,PM2.5
Tompkins,10.01,PM2.5
Ulster C,9.15,PM10
Warren C,8.28,PM2.5
Washingt,10.05,PM10
Wayne Co,9.43,PM2.5
Westches,15.86,PM10
Wyoming,10.41,PM2.5
Yates Co,9.98,PM2.5
Alamance,14.83,PM10
Alexande,15.59,PM10
Alleghan,13.71,PM10
Anson Co,12.51,PM10
Ashe Cou,12.52,PM10
Avery Co,13.8,PM10
Beaufort,9.88,PM2.5
Bertie C,10.56,PM2.5
Bladen C,11.66,PM10
Brunswic,10.04,PM2.5
Buncombe,13.46,PM10
Burke Co,16.01,PM10
Cabarrus,18.06,PM10
Caldwell,15.05,PM10
Camden C,11.12,PM10
Carteret,8.73,PM2.5
Caswell,13.17,PM10
Catawba,19.28,PM10
Chatham,15.23,PM10
Cherokee,12.64,PM2.5
Chowan C,10.08,PM2.5
Clay Cou,12.68,PM2.5
Clevelan,16.72,PM10
Columbus,10.8,PM2.5
Craven C,9.87,PM2.5
Cumberla,18.26,PM10
Currituc,9.65,PM2.5
Dare Cou,8.23,PM2.5
Davidson,18.59,PM10
Davie Co,17.42,PM10
Duplin C,13.3,PM10
Durham C,19.92,PM10
Edgecomb,13.73,PM10
Forsyth,20.35,PM10
Franklin,14.88,PM10
Gaston C,19.34,PM10
Gates Co,11.18,PM10
Graham C,12.95,PM10
Granvill,14.47,PM10
Greene C,14.65,PM10
Guilford,19.14,PM10
Halifax,12.01,PM10
Harnett,17.21,PM10
Haywood,14.7,PM10
Henderso,16.47,PM10
Hertford,10.7,PM2.5
Hoke Cou,14.29,PM10
Hyde Cou,8.73,PM2.5
Iredell,16.92,PM10
Jackson,13.05,PM10
Johnston,16.98,PM10
Jones Co,12.11,PM10
Lee Coun,15.25,PM10
Lenoir C,13.89,PM10
Lincoln,19.2,PM10
McDowell,16.86,PM10
Macon Co,12.41,PM2.5
Madison,13.28,PM10
Martin C,10.65,PM2.5
Mecklenb,25.77,PM10
Mitchell,14.93,PM10
Montgome,12.52,PM10
Moore Co,13.1,PM10
Nash Cou,14.7,PM10
New Hano,11.6,PM10
Northamp,11.08,PM2.5
Onslow C,14.26,PM10
Orange C,16.12,PM10
Pamlico,9.24,PM2.5
Pasquota,11.86,PM10
Pender C,11.6,PM10
Perquima,10.9,PM10
Person C,13.79,PM10
Pitt Cou,13.75,PM10
Polk Cou,15.47,PM10
Randolph,15.45,PM10
Richmond,11.53,PM2.5
Robeson,12.59,PM10
Rockingh,14.08,PM10
Rowan Co,17.63,PM10
Rutherfo,15.17,PM10
Sampson,13.83,PM10
Scotland,11.69,PM10
Stanly C,14.27,PM10
Stokes C,16.0,PM10
Surry Co,15.59,PM10
Swain Co,15.73,PM10
Transylv,13.74,PM10
Tyrrell,9.04,PM2.5
Union Co,15.87,PM10
Vance Co,13.5,PM10
Wake Cou,19.94,PM10
Warren C,12.25,PM10
Washingt,9.72,PM2.5
Watauga,12.54,PM10
Wayne Co,18.75,PM10
Wilkes C,13.92,PM10
Wilson C,15.7,PM10
Yadkin C,16.02,PM10
Yancey C,14.18,PM10
Barnes C,6.12,PM2.5
Benson C,5.07,PM2.5
Bottinea,4.47,PM2.5
Bowman C,5.09,PM2.5
Burleigh,8.27,PM10
Cass Cou,7.87,PM10
Cavalier,4.81,PM2.5
Dickey C,7.43,PM10
Foster C,5.61,PM2.5
Grand Fo,5.38,PM2.5
Griggs C,5.81,PM2.5
McHenry,4.82,PM2.5
McKenzie,6.92,PM10
McLean C,5.44,PM10
Mercer C,6.1,PM10
Morton C,6.49,PM10
Mountrai,6.78,PM10
Nelson C,5.51,PM2.5
Pembina,4.84,PM2.5
Pierce C,4.87,PM2.5
Ramsey C,5.09,PM2.5
Ransom C,6.76,PM10
Richland,8.22,PM10
Rolette,4.55,PM2.5
Sargent,7.29,PM10
Stark Co,5.37,PM10
Stutsman,5.88,PM2.5
Traill C,5.81,PM2.5
Walsh Co,5.14,PM2.5
Ward Cou,4.84,PM10
Wells Co,5.32,PM2.5
Williams,5.36,PM10
Adams Co,11.24,PM2.5
Allen Co,21.36,PM10
Ashland,13.03,PM10
Ashtabul,12.19,PM10
Athens C,14.9,PM10
Auglaize,15.7,PM10
Belmont,17.13,PM10
Brown Co,10.87,PM2.5
Butler C,20.91,PM10
Carroll,15.46,PM10
Champaig,15.11,PM10
Clark Co,15.61,PM10
Clermont,14.61,PM10
Clinton,12.98,PM10
Columbia,20.44,PM10
Coshocto,12.25,PM10
Crawford,15.55,PM10
Cuyahoga,30.37,PM10
Darke Co,13.16,PM10
Defiance,12.35,PM10
Delaware,19.93,PM10
Erie Cou,13.93,PM10
Fairfiel,15.54,PM10
Fayette,12.5,PM10
Franklin,27.58,PM10
Fulton C,11.93,PM10
Gallia C,14.97,PM10
Geauga C,17.46,PM10
Greene C,16.89,PM10
Guernsey,11.87,PM10
Hamilton,24.36,PM10
Hancock,21.77,PM10
Hardin C,17.05,PM10
Harrison,13.36,PM10
Henry Co,13.17,PM10
Highland,10.96,PM2.5
Hocking,13.54,PM10
Holmes C,12.07,PM10
Huron Co,14.21,PM10
Jackson,14.98,PM10
Jefferso,20.63,PM10
Knox Cou,14.91,PM10
Lake Cou,17.92,PM10
Lawrence,21.05,PM10
Licking,16.43,PM10
Logan Co,15.15,PM10
Lorain C,16.45,PM10
Lucas Co,18.27,PM10
Madison,15.09,PM10
Mahoning,21.6,PM10
Marion C,16.68,PM10
Medina C,15.7,PM10
Meigs Co,14.7,PM10
Mercer C,12.96,PM10
Miami Co,15.78,PM10
Monroe C,15.37,PM10
Montgome,23.33,PM10
Morgan C,15.72,PM10
Morrow C,16.55,PM10
Muskingu,12.89,PM10
Noble Co,14.26,PM10
Ottawa C,17.16,PM10
Paulding,13.15,PM10
Perry Co,13.79,PM10
Pickaway,15.69,PM10
Pike Cou,12.78,PM10
Portage,18.95,PM10
Preble C,16.91,PM10
Putnam C,15.71,PM10
Richland,14.43,PM10
Ross Cou,12.62,PM10
Sandusky,17.88,PM10
Scioto C,18.01,PM10
Seneca C,18.35,PM10
Shelby C,14.06,PM10
Stark Co,20.05,PM10
Summit C,19.58,PM10
Trumbull,17.66,PM10
Tuscaraw,11.12,PM2.5
Union Co,16.14,PM10
Van Wert,13.24,PM10
Vinton C,13.26,PM2.5
Warren C,18.39,PM10
Washingt,21.69,PM10
Wayne Co,12.78,PM10
Williams,12.53,PM10
Wood Cou,18.34,PM10
Wyandot,19.27,PM10
Adair Co,13.4,PM10
Alfalfa,8.31,PM10
Atoka Co,9.55,PM2.5
Beckham,6.83,PM2.5
Blaine C,10.37,PM10
Bryan Co,9.12,PM2.5
Caddo Co,9.06,PM10
Canadian,12.0,PM10
Carter C,9.08,PM2.5
Cherokee,20.79,PM10
Choctaw,10.28,PM2.5
Clevelan,13.59,PM10
Coal Cou,9.82,PM10
Comanche,8.35,PM2.5
Cotton C,7.98,PM2.5
Craig Co,17.61,PM10
Creek Co,14.76,PM10
Custer C,15.14,PM10
Delaware,15.37,PM10
Dewey Co,9.35,PM10
Ellis Co,6.51,PM10
Garfield,11.09,PM10
Garvin C,9.33,PM10
Grady Co,9.87,PM10
Grant Co,10.83,PM10
Greer Co,7.0,PM2.5
Harmon C,6.7,PM2.5
Harper C,6.99,PM10
Haskell,12.44,PM10
Hughes C,12.1,PM10
Jackson,7.21,PM2.5
Jefferso,8.48,PM2.5
Johnston,9.0,PM2.5
Kay Coun,22.12,PM10
Kingfish,11.86,PM10
Kiowa Co,7.69,PM10
Latimer,11.06,PM10
Le Flore,10.6,PM2.5
Lincoln,13.09,PM10
Logan Co,15.14,PM10
Love Cou,9.12,PM2.5
McClain,11.09,PM10
McCurtai,10.96,PM2.5
McIntosh,16.56,PM10
Marshall,9.19,PM2.5
Mayes Co,18.64,PM10
Murray C,9.1,PM2.5
Muskogee,21.89,PM10
Noble Co,15.29,PM10
Nowata C,17.36,PM10
Okfuskee,12.71,PM10
Oklahoma,20.56,PM10
Okmulgee,16.4,PM10
Osage Co,15.01,PM10
Ottawa C,20.17,PM10
Pawnee C,14.89,PM10
Payne Co,14.16,PM10
Pittsbur,20.58,PM10
Pontotoc,9.45,PM10
Pottawat,11.66,PM10
Pushmata,10.53,PM2.5
Rogers C,19.27,PM10
Seminole,11.35,PM10
Sequoyah,12.41,PM10
Stephens,8.67,PM2.5
Texas Co,6.0,PM2.5
Tillman,7.21,PM2.5
Tulsa Co,25.95,PM10
Wagoner,23.25,PM10
Washingt,16.19,PM10
Washita,12.26,PM10
Woods Co,7.62,PM10
Baker Co,8.79,PM10
Benton C,7.98,PM10
Clackama,8.52,PM10
Clatsop,6.69,PM2.5
Columbia,12.62,PM10
Coos Cou,6.45,PM2.5
Crook Co,7.73,PM10
Curry Co,7.36,PM10
Deschute,12.49,PM10
Douglas,9.02,PM10
Grant Co,8.39,PM10
Harney C,7.55,PM10
Hood Riv,7.69,PM10
Jackson,16.43,PM10
Jefferso,9.39,PM10
Josephin,11.55,PM10
Klamath,10.06,PM10
Lake Cou,7.36,PM10
Lane Cou,13.15,PM10
Lincoln,6.45,PM2.5
Linn Cou,8.69,PM10
Malheur,7.26,PM10
Marion C,8.32,PM10
Morrow C,10.17,PM10
Multnoma,11.92,PM10
Polk Cou,6.98,PM2.5
Tillamoo,6.64,PM2.5
Umatilla,17.23,PM10
Union Co,19.41,PM10
Wallowa,10.64,PM10
Wasco Co,7.59,PM10
Washingt,10.44,PM10
Yamhill,7.24,PM10
Adams Co,13.32,PM10
Alleghen,23.43,PM10
Armstron,10.83,PM2.5
Beaver C,25.41,PM10
Bedford,13.53,PM10
Berks Co,21.16,PM10
Blair Co,19.39,PM10
Bradford,10.65,PM2.5
Bucks Co,18.36,PM10
Butler C,12.25,PM10
Cambria,16.04,PM10
Cameron,11.6,PM2.5
Carbon C,16.65,PM10
Centre C,11.83,PM2.5
Chester,18.03,PM10
Clarion,10.59,PM2.5
Clearfie,10.94,PM2.5
Clinton,11.64,PM2.5
Columbia,12.45,PM10
Crawford,10.85,PM10
Cumberla,12.93,PM10
Dauphin,16.39,PM10
Delaware,21.19,PM10
Elk Coun,10.76,PM2.5
Erie Cou,13.48,PM10
Fayette,16.32,PM10
Forest C,10.61,PM2.5
Franklin,12.48,PM10
Fulton C,13.73,PM10
Greene C,16.76,PM10
Huntingd,12.83,PM10
Indiana,12.15,PM10
Jefferso,10.34,PM2.5
Juniata,11.52,PM2.5
Lackawan,17.54,PM10
Lancaste,20.34,PM10
Lawrence,27.09,PM10
Lebanon,16.87,PM10
Lehigh C,17.62,PM10
Luzerne,15.2,PM10
Lycoming,15.16,PM10
Mc Kean,10.97,PM2.5
Mercer C,13.27,PM10
Mifflin,11.37,PM2.5
Monroe C,15.89,PM10
Montgome,17.39,PM10
Montour,13.5,PM10
Northamp,30.29,PM10
Northumb,13.33,PM10
Perry Co,12.54,PM10
Philadel,25.07,PM10
Pike Cou,11.29,PM10
Potter C,11.37,PM2.5
Schuylki,14.16,PM10
Snyder C,13.13,PM10
Somerset,13.34,PM10
Sullivan,10.88,PM2.5
Susqueha,10.28,PM2.5
Tioga Co,10.83,PM2.5
Union Co,14.17,PM10
Venango,10.45,PM2.5
Warren C,10.78,PM2.5
Washingt,16.08,PM10
Wayne Co,9.89,PM10
Westmore,19.93,PM10
Wyoming,11.71,PM10
York Cou,21.6,PM10
Bristol,14.26,PM10
Kent Cou,13.26,PM10
Newport,9.9,PM10
Providen,16.87,PM10
Washingt,10.02,PM10
Abbevill,12.44,PM2.5
Aiken Co,15.29,PM10
Allendal,12.82,PM10
Anderson,12.61,PM2.5
Bamberg,12.59,PM10
Barnwell,16.93,PM10
Beaufort,11.93,PM10
Berkeley,14.86,PM10
Calhoun,13.48,PM10
Charlest,19.61,PM10
Cherokee,15.47,PM10
Chester,16.02,PM10
Chesterf,13.68,PM10
Clarendo,11.39,PM2.5
Colleton,11.33,PM10
Darlingt,11.83,PM2.5
Dillon C,11.54,PM2.5
Dorchest,11.96,PM10
Edgefiel,13.36,PM10
Fairfiel,15.01,PM10
Florence,11.41,PM2.5
Georgeto,20.29,PM10
Greenvil,18.69,PM10
Greenwoo,12.93,PM2.5
Hampton,12.04,PM10
Horry Co,10.91,PM2.5
Jasper C,13.3,PM10
Kershaw,13.05,PM10
Lancaste,15.31,PM10
Laurens,12.6,PM10
Lee Coun,11.69,PM2.5
Lexingto,20.48,PM10
McCormic,12.52,PM2.5
Marion C,11.24,PM2.5
Marlboro,11.62,PM2.5
Newberry,12.79,PM10
Oconee C,12.08,PM2.5
Orangebu,12.06,PM10
Pickens,13.4,PM10
Richland,18.76,PM10
Saluda C,12.93,PM10
