County,Highest EQI Values,Highest EQI
Fresno C,1.354219,Water_EQI
Glenn Co,0.9527405,Land_EQI
Humboldt,0.9483296,Built_EQI
Imperial,1.241583,Water_EQI
Inyo Cou,1.41059,Built_EQI
Kern Cou,1.424844,Water_EQI
Kings Co,1.284989,Water_EQI
Lake Cou,1.272891,Water_EQI
Lassen C,0.9119719,Land_EQI
Los Ange,2.263422,Air_EQI
Madera C,0.956894,Land_EQI
Marin Co,3.186212,Sociod_EQI
Mariposa,0.6303721,Built_EQI
Mendocin,1.067972,Water_EQI
Merced C,1.351877,Water_EQI
Modoc Co,0.9146829,Land_EQI
Mono Cou,1.62515,Built_EQI
Monterey,1.314963,Water_EQI
Napa Cou,1.30408,Water_EQI
Nevada C,1.306153,Water_EQI
Orange C,1.987348,Air_EQI
Placer C,1.911486,Sociod_EQI
Plumas C,1.040163,Built_EQI
Riversid,1.354331,Water_EQI
Sacramen,1.298199,Water_EQI
San Beni,1.215283,Sociod_EQI
San Bern,1.364527,Water_EQI
San Dieg,1.333344,Water_EQI
San Fran,1.972302,Built_EQI
San Joaq,1.228242,Water_EQI
San Luis,1.288388,Water_EQI
San Mate,2.671115,Sociod_EQI
Santa Ba,1.256128,Water_EQI
Santa Cl,2.440319,Sociod_EQI
Santa Cr,1.368168,Built_EQI
Shasta C,0.9786708,Land_EQI
Siskiyou,0.9925479,Land_EQI
Solano C,1.273219,Sociod_EQI
Sonoma C,1.496922,Sociod_EQI
Stanisla,1.331672,Water_EQI
Sutter C,1.068389,Land_EQI
Tehama C,0.9248555,Land_EQI
Trinity,0.6068009,Land_EQI
Tulare C,1.292463,Water_EQI
Tuolumne,0.9466268,Water_EQI
Ventura,1.499009,Sociod_EQI
Yolo Cou,1.294849,Water_EQI
Yuba Cou,0.9342386,Land_EQI
Adams Co,1.10749,Sociod_EQI
Alamosa,1.086812,Land_EQI
Arapahoe,1.946356,Sociod_EQI
Archulet,0.7498946,Built_EQI
Baca Cou,0.9483042,Water_EQI
Bent Cou,0.8568586,Water_EQI
Boulder,1.946719,Sociod_EQI
Chaffee,1.395975,Built_EQI
Clear Cr,1.726737,Sociod_EQI
Conejos,0.9328912,Water_EQI
Costilla,0.8661003,Water_EQI
Custer C,0.6320809,Land_EQI
Delta Co,1.017978,Land_EQI
Denver C,1.397675,Built_EQI
Douglas,3.979472,Sociod_EQI
Eagle Co,2.165092,Sociod_EQI
Elbert C,2.64179,Sociod_EQI
El Paso,1.396777,Sociod_EQI
Fremont,0.8875301,Land_EQI
Garfield,1.524208,Built_EQI
Grand Co,1.779153,Built_EQI
Gunnison,1.497203,Built_EQI
Huerfano,1.112038,Built_EQI
Jefferso,2.372489,Sociod_EQI
Kit Cars,0.995234,Water_EQI
La Plata,1.82952,Built_EQI
Larimer,1.461252,Sociod_EQI
Las Anim,0.4417534,Built_EQI
Lincoln,0.8157587,Water_EQI
Logan Co,1.085822,Water_EQI
Mesa Cou,0.9446383,Water_EQI
Moffat C,0.9956276,Built_EQI
Montezum,0.9050339,Water_EQI
Montrose,0.3975301,Built_EQI
Morgan C,0.5239991,Land_EQI
Otero Co,0.9602558,Water_EQI
Park Cou,0.9103069,Sociod_EQI
Phillips,0.925476,Water_EQI
Pitkin C,3.126736,Sociod_EQI
Prowers,0.8937898,Water_EQI
Pueblo C,1.06113,Land_EQI
Rio Gran,1.044849,Land_EQI
Routt Co,1.698077,Sociod_EQI
Summit C,2.380997,Built_EQI
Teller C,1.401793,Sociod_EQI
Weld Cou,0.8985956,Water_EQI
Yuma Cou,0.9810362,Water_EQI
Fairfiel,2.22134,Sociod_EQI
Hartford,1.570504,Air_EQI
Litchfie,1.802852,Sociod_EQI
Middlese,1.921099,Sociod_EQI
New Have,1.596831,Air_EQI
New Lond,1.292333,Sociod_EQI
Tolland,2.048332,Sociod_EQI
Windham,1.011003,Water_EQI
Kent Cou,0.9654498,Built_EQI
New Cast,1.680467,Air_EQI
Sussex C,0.9529083,Water_EQI
District,2.139705,Built_EQI
Alachua,1.196086,Built_EQI
Baker Co,0.3045402,Sociod_EQI
Bay Coun,0.7169707,Air_EQI
Bradford,0.0910354,Air_EQI
Brevard,0.7238919,Air_EQI
Broward,1.169898,Air_EQI
Calhoun,-0.4527588,Built_EQI
Charlott,0.7032555,Built_EQI
Citrus C,0.470712,Built_EQI
Clay Cou,1.587154,Sociod_EQI
Collier,0.9653921,Built_EQI
Columbia,0.406904,Air_EQI
DeSoto C,-0.1469594,Air_EQI
Dixie Co,-0.8926065,Air_EQI
Duval Co,1.378499,Air_EQI
Escambia,1.048303,Air_EQI
Flagler,1.05862,Sociod_EQI
Franklin,0.4422072,Built_EQI
Gadsden,0.046108,Air_EQI
Gilchris,-0.4039422,Sociod_EQI
Glades C,-1.02893,Air_EQI
Gulf Cou,-0.5051413,Air_EQI
Hamilton,-0.5446278,Air_EQI
Hardee C,-0.2690367,Air_EQI
Hendry C,0.3408386,Built_EQI
Hernando,0.6685796,Built_EQI
Highland,0.5147587,Built_EQI
Hillsbor,1.342867,Air_EQI
Holmes C,-0.2390531,Air_EQI
Indian R,0.7872229,Built_EQI
Jackson,0.2225301,Built_EQI
Jefferso,0.4262545,Built_EQI
Lafayett,-0.614092,Sociod_EQI
Lake Cou,0.7615976,Built_EQI
Lee Coun,0.6531591,Built_EQI
Leon Cou,0.9716327,Built_EQI
Levy Cou,-0.1632772,Air_EQI
Liberty,-0.6356385,Air_EQI
Madison,-0.3120582,Air_EQI
Manatee,0.7933316,Air_EQI
Marion C,0.704547,Air_EQI
Martin C,1.220072,Built_EQI
Monroe C,0.3758256,Sociod_EQI
Nassau C,0.9003644,Sociod_EQI
Okaloosa,0.7303112,Sociod_EQI
Okeechob,0.4886562,Built_EQI
Orange C,1.194289,Built_EQI
Osceola,0.9124943,Built_EQI
Palm Bea,0.8401342,Air_EQI
Pasco Co,0.7200869,Air_EQI
Pinellas,1.105347,Air_EQI
Polk Cou,0.8201627,Air_EQI
Putnam C,0.6929437,Air_EQI
St. John,1.331174,Sociod_EQI
St. Luci,0.7041097,Built_EQI
Santa Ro,1.020253,Sociod_EQI
Sarasota,0.9562497,Built_EQI
Seminole,1.400479,Sociod_EQI
Sumter C,0.1664146,Air_EQI
Suwannee,0.0110464,Built_EQI
Taylor C,-0.1538716,Built_EQI
Volusia,0.7676505,Air_EQI
Wakulla,0.3974623,Sociod_EQI
Walton C,0.5436892,Built_EQI
Washingt,0.2043421,Built_EQI
Appling,0.4453244,Built_EQI
Atkinson,-0.3288522,Water_EQI
Bacon Co,-0.2928754,Water_EQI
Baker Co,-0.3385593,Water_EQI
Baldwin,0.8315995,Built_EQI
Banks Co,0.147932,Land_EQI
Barrow C,1.21579,Water_EQI
Bartow C,1.075153,Air_EQI
Ben Hill,0.2882036,Built_EQI
Berrien,0.2535472,Built_EQI
Bibb Cou,1.226244,Built_EQI
Bleckley,-0.2450082,Sociod_EQI
Brantley,-0.2294573,Water_EQI
Brooks C,-0.1647161,Air_EQI
Bryan Co,1.210267,Water_EQI
Bulloch,1.223259,Water_EQI
Burke Co,0.7990347,Water_EQI
Butts Co,0.5401291,Air_EQI
Calhoun,-0.2961769,Water_EQI
Camden C,0.9221945,Water_EQI
Candler,0.2442642,Built_EQI
Carroll,1.222238,Water_EQI
Catoosa,1.09475,Air_EQI
Charlton,0.1102853,Water_EQI
Chatham,1.456804,Air_EQI
