County,Highest EQI Values,Highest EQI
Butler C,0.7755303,Sociod_EQI
Calhoun,0.731335,Land_EQI
Carroll,1.0478,Sociod_EQI
Cass Cou,0.7840907,Land_EQI
Cedar Co,1.345122,Sociod_EQI
Cerro Go,1.431006,Built_EQI
Cherokee,1.049124,Land_EQI
Chickasa,0.8612792,Built_EQI
Clarke C,0.6378099,Built_EQI
Clay Cou,1.16513,Built_EQI
Clayton,0.6330845,Land_EQI
Clinton,1.168343,Air_EQI
Crawford,0.7291,Land_EQI
Dallas C,1.702707,Sociod_EQI
Davis Co,0.6230055,Land_EQI
Decatur,0.7115003,Land_EQI
Delaware,0.8460371,Sociod_EQI
Des Moin,1.29718,Built_EQI
Dickinso,1.246546,Built_EQI
Dubuque,1.01562,Built_EQI
Emmet Co,0.7278886,Land_EQI
Fayette,0.7239905,Land_EQI
Floyd Co,0.8804609,Land_EQI
Franklin,0.7795967,Land_EQI
Fremont,0.7431418,Land_EQI
Greene C,0.7791129,Land_EQI
Grundy C,0.9990464,Sociod_EQI
Guthrie,0.6657715,Sociod_EQI
Hamilton,1.096323,Sociod_EQI
Hancock,1.037527,Sociod_EQI
Hardin C,0.6816815,Land_EQI
Harrison,0.9312399,Land_EQI
Henry Co,0.7334643,Sociod_EQI
Howard C,0.5899247,Land_EQI
Humboldt,0.9761848,Sociod_EQI
Ida Coun,0.7449882,Sociod_EQI
Iowa Cou,1.262874,Sociod_EQI
Jackson,0.6234245,Land_EQI
Jasper C,1.115285,Sociod_EQI
Jefferso,0.6660447,Built_EQI
Johnson,1.453763,Air_EQI
Jones Co,0.9685525,Sociod_EQI
Keokuk C,0.6675002,Land_EQI
Kossuth,0.8986986,Land_EQI
Lee Coun,0.7796924,Air_EQI
Linn Cou,1.27365,Sociod_EQI
Louisa C,0.632532,Land_EQI
Lucas Co,0.5505425,Land_EQI
Lyon Cou,0.9447163,Sociod_EQI
Madison,1.152642,Sociod_EQI
Mahaska,0.8162336,Land_EQI
Marion C,0.9889569,Sociod_EQI
Marshall,0.6141661,Land_EQI
Mills Co,1.02712,Sociod_EQI
Mitchell,0.799497,Sociod_EQI
Monona C,0.8860646,Land_EQI
Monroe C,0.6095182,Land_EQI
Montgome,1.319931,Built_EQI
Muscatin,1.135645,Air_EQI
O'Brien,0.912706,Land_EQI
Osceola,0.9554198,Land_EQI
Page Cou,1.045738,Built_EQI
Palo Alt,0.943382,Land_EQI
Plymouth,1.465836,Sociod_EQI
Pocahont,0.8986796,Land_EQI
Polk Cou,1.18645,Air_EQI
Pottawat,0.9138061,Air_EQI
Poweshie,0.801429,Land_EQI
Ringgold,0.6784042,Land_EQI
Sac Coun,0.9390461,Land_EQI
Scott Co,1.636664,Air_EQI
Shelby C,1.231528,Sociod_EQI
Sioux Co,1.153904,Sociod_EQI
Story Co,0.8556648,Sociod_EQI
Tama Cou,0.8387932,Land_EQI
Taylor C,0.7040542,Land_EQI
Union Co,0.9621448,Built_EQI
Van Bure,0.4753769,Land_EQI
Wapello,1.057464,Built_EQI
Warren C,1.775748,Sociod_EQI
Washingt,1.010369,Sociod_EQI
Wayne Co,0.5575436,Land_EQI
Webster,1.152036,Built_EQI
Winnebag,0.9353911,Sociod_EQI
Winneshi,0.8816636,Sociod_EQI
Woodbury,1.043081,Land_EQI
Worth Co,0.8873339,Sociod_EQI
Wright C,0.7061893,Sociod_EQI
Adair Co,1.093968,Water_EQI
Allen Co,1.031158,Water_EQI
Anderson,1.30146,Land_EQI
Ballard,1.104896,Water_EQI
Barren C,0.5286072,Air_EQI
Bath Cou,0.6528242,Land_EQI
Bell Cou,0.9218916,Water_EQI
Boone Co,1.770027,Sociod_EQI
Bourbon,1.692439,Land_EQI
Boyd Cou,1.404387,Air_EQI
Boyle Co,0.8669592,Land_EQI
Bracken,0.4855738,Land_EQI
Breathit,1.176917,Water_EQI
Breckinr,1.101152,Water_EQI
Bullitt,1.157167,Air_EQI
Butler C,1.105985,Water_EQI
Caldwell,1.076245,Water_EQI
Calloway,1.068546,Water_EQI
Campbell,1.718283,Air_EQI
Carlisle,1.093136,Water_EQI
Carroll,1.586661,Built_EQI
Carter C,0.2336023,Air_EQI
Casey Co,0.3176,Land_EQI
Christia,0.8826969,Air_EQI
Clark Co,1.315099,Land_EQI
Clay Cou,-0.1385687,Air_EQI
Clinton,1.082322,Water_EQI
Crittend,1.062012,Water_EQI
Cumberla,1.077623,Water_EQI
Daviess,1.426642,Air_EQI
Edmonson,1.102022,Water_EQI
Elliott,0.6155202,Water_EQI
Estill C,1.105087,Water_EQI
Fayette,2.094526,Land_EQI
Fleming,1.101038,Land_EQI
Floyd Co,0.2544191,Built_EQI
Franklin,1.461395,Land_EQI
Fulton C,1.094602,Water_EQI
Gallatin,0.7370464,Land_EQI
Garrard,0.7601099,Land_EQI
Grant Co,1.184542,Water_EQI
Graves C,1.186753,Water_EQI
Grayson,1.082191,Water_EQI
Green Co,-0.0227355,Water_EQI
Greenup,1.029167,Air_EQI
Hancock,1.108971,Water_EQI
Hardin C,1.102062,Air_EQI
Harlan C,0.9510801,Water_EQI
Harrison,1.326622,Land_EQI
Hart Cou,1.097068,Water_EQI
Henderso,1.483858,Air_EQI
Henry Co,1.187814,Land_EQI
Hickman,1.109577,Water_EQI
Hopkins,1.079018,Water_EQI
Jackson,1.073378,Water_EQI
Jefferso,1.850847,Air_EQI
Jessamin,1.089512,Land_EQI
Johnson,0.147517,Built_EQI
Kenton C,1.856953,Air_EQI
Knott Co,-0.2982416,Water_EQI
Knox Cou,0.8752538,Water_EQI
Larue Co,0.8615755,Water_EQI
Laurel C,1.0821,Water_EQI
Lawrence,0.0492146,Air_EQI
Lee Coun,1.115251,Water_EQI
Leslie C,-0.1931954,Water_EQI
Letcher,1.114353,Water_EQI
Lewis Co,0.5066322,Land_EQI
Lincoln,0.5655714,Water_EQI
Livingst,1.077511,Water_EQI
Logan Co,0.8168902,Water_EQI
Lyon Cou,1.093726,Water_EQI
McCracke,1.399798,Built_EQI
McCreary,1.078956,Water_EQI
McLean C,1.092087,Water_EQI
Madison,1.002275,Air_EQI
Magoffin,0.1843134,Water_EQI
Marion C,1.089173,Water_EQI
Marshall,1.07411,Water_EQI
Martin C,-0.0872771,Air_EQI
Mason Co,1.029753,Land_EQI
Meade Co,0.8825606,Water_EQI
Menifee,-0.4588536,Air_EQI
Mercer C,0.9439148,Land_EQI
Metcalfe,-0.290832,Air_EQI
Monroe C,1.078391,Water_EQI
Montgome,1.090651,Water_EQI
Morgan C,-0.3327274,Water_EQI
Muhlenbe,1.089721,Water_EQI
Nelson C,0.7636815,Land_EQI
Nicholas,0.8631384,Land_EQI
Ohio Cou,1.11584,Water_EQI
Oldham C,2.5169,Sociod_EQI
Owen Cou,0.8257043,Land_EQI
Owsley C,1.07839,Water_EQI
Pendleto,1.000887,Land_EQI
Perry Co,1.077772,Water_EQI
Pike Cou,0.0748723,Air_EQI
Powell C,0.2774997,Land_EQI
Pulaski,1.019988,Water_EQI
Robertso,0.6037409,Land_EQI
Rockcast,1.109651,Water_EQI
Rowan Co,1.077225,Water_EQI
Russell,1.103465,Water_EQI
Scott Co,1.966305,Land_EQI
Shelby C,1.522154,Land_EQI
Simpson,0.513897,Air_EQI
Spencer,1.194991,Land_EQI
Taylor C,0.8031194,Water_EQI
Todd Cou,0.1250203,Air_EQI
Trigg Co,1.090447,Water_EQI
Trimble,1.307936,Built_EQI
Union Co,1.109366,Water_EQI
Warren C,1.242144,Air_EQI
Washingt,1.124657,Water_EQI
Wayne Co,1.072586,Water_EQI
Webster,1.085059,Water_EQI
Whitley,0.8379225,Water_EQI
Wolfe Co,-0.3283975,Water_EQI
Woodford,1.943874,Land_EQI
Acadia P,0.3810781,Air_EQI
Allen Pa,0.243455,Air_EQI
Ascensio,1.809594,Air_EQI
Assumpti,0.8349858,Air_EQI
Avoyelle,0.1779972,Land_EQI
Beaurega,0.6699942,Air_EQI
Bienvill,-0.3050144,Air_EQI
Bossier,0.9749706,Air_EQI
Caddo Pa,1.230042,Air_EQI
Calcasie,1.613815,Air_EQI
Caldwell,-0.2957838,Built_EQI
Cameron,0.2749302,Land_EQI
Catahoul,0.1312743,Land_EQI
Claiborn,-0.0777315,Air_EQI
Concordi,0.4709744,Land_EQI
De Soto,0.3022321,Air_EQI
East Bat,1.971923,Air_EQI
East Car,0.4645705,Land_EQI
East Fel,0.378354,Air_EQI
Evangeli,0.2515307,Air_EQI
Franklin,0.0844881,Land_EQI
Grant Pa,-0.1443375,Air_EQI
Iberia P,0.6553973,Land_EQI
Ibervill,2.014194,Air_EQI
Jackson,-0.1960095,Built_EQI
Jefferso,1.482751,Air_EQI
Jefferso,0.3511274,Air_EQI
Lafayett,1.153889,Built_EQI
Lafourch,0.7296048,Air_EQI
La Salle,-0.2646611,Built_EQI
Lincoln,0.5034356,Built_EQI
Livingst,1.303456,Air_EQI
Madison,0.5875298,Land_EQI
Morehous,0.5765684,Air_EQI
Natchito,0.6538832,Built_EQI
Orleans,1.409692,Air_EQI
Ouachita,0.975486,Air_EQI
Plaquemi,0.1588198,Land_EQI
Pointe C,0.9798915,Air_EQI
Rapides,0.8889443,Built_EQI
Red Rive,-0.1690852,Air_EQI
Richland,0.032327,Land_EQI
Sabine P,-0.1495545,Air_EQI
St. Bern,0.9774091,Air_EQI
St. Char,1.444485,Air_EQI
St. Hele,-0.014997,Air_EQI
St. Jame,1.051809,Air_EQI
St. John,1.407185,Air_EQI
St. Land,0.6104413,Air_EQI
St. Mart,0.6560196,Air_EQI
St. Tamm,1.154259,Sociod_EQI
Tangipah,0.6414939,Air_EQI
Tensas P,0.3501731,Land_EQI
Terrebon,1.050738,Built_EQI
Union Pa,0.2193399,Air_EQI
Vermilio,0.4471326,Air_EQI
Vernon P,0.3213412,Air_EQI
Washingt,0.524752,Air_EQI
Webster,0.4025947,Air_EQI
West Bat,1.994101,Air_EQI
West Car,0.1349906,Land_EQI
West Fel,0.3012199,Air_EQI
Winn Par,0.154102,Air_EQI
Androsco,1.267032,Air_EQI
Aroostoo,0.7969097,Water_EQI
Cumberla,1.625053,Built_EQI
Franklin,0.7750214,Water_EQI
Hancock,1.015113,Built_EQI
Kennebec,1.065391,Built_EQI
Knox Cou,0.8647135,Built_EQI
Lincoln,0.6782308,Land_EQI
Oxford C,0.8088039,Water_EQI
Penobsco,1.025596,Built_EQI
Piscataq,0.4648423,Land_EQI
Sagadaho,1.031271,Sociod_EQI
Somerset,0.8065457,Water_EQI
Waldo Co,0.8273576,Water_EQI
Washingt,0.764204,Water_EQI
York Cou,1.078194,Air_EQI
Allegany,1.172719,Air_EQI
Anne Aru,2.215651,Sociod_EQI
Baltimor,1.876066,Air_EQI
Calvert,2.496938,Sociod_EQI
Caroline,1.113465,Water_EQI
Carroll,2.437829,Sociod_EQI
Cecil Co,1.290809,Sociod_EQI
Charles,2.524687,Sociod_EQI
Dorchest,1.004838,Water_EQI
Frederic,2.298663,Sociod_EQI
Garrett,1.150048,Water_EQI
Harford,2.160756,Sociod_EQI
Howard C,3.497653,Sociod_EQI
Kent Cou,1.001723,Water_EQI
Montgome,2.723068,Sociod_EQI
Prince G,1.509105,Sociod_EQI
Queen An,2.085114,Sociod_EQI
St. Mary,1.766908,Sociod_EQI
Somerset,0.9366585,Water_EQI
Talbot C,1.618263,Built_EQI
Washingt,1.404942,Air_EQI
Wicomico,1.130252,Built_EQI
Worceste,1.0326,Water_EQI
Baltimor,2.220089,Air_EQI
Barnstab,1.612612,Built_EQI
Berkshir,1.621118,Built_EQI
Bristol,1.511225,Air_EQI
Dukes Co,1.106009,Sociod_EQI
Essex Co,1.510779,Air_EQI
Franklin,1.165024,Built_EQI
Hampden,1.612429,Air_EQI
Hampshir,1.282717,Built_EQI
Middlese,2.163388,Sociod_EQI
Nantucke,2.046814,Sociod_EQI
Norfolk,2.564994,Sociod_EQI
Plymouth,1.814856,Sociod_EQI
Suffolk,1.775588,Air_EQI
Worceste,1.250709,Air_EQI
Adams Co,1.36438,Built_EQI
Alcorn C,0.4807004,Air_EQI
Amite Co,-0.1827895,Air_EQI
Attala C,0.0493317,Air_EQI
Benton C,-0.3095464,Air_EQI
Bolivar,0.8309707,Land_EQI
Calhoun,0.0368016,Air_EQI
Carroll,-0.4071912,Air_EQI
Chickasa,0.190128,Air_EQI
Choctaw,-0.0841898,Air_EQI
Claiborn,0.3419502,Air_EQI
Clarke C,-0.1065676,Air_EQI
Clay Cou,0.6595309,Air_EQI
Coahoma,0.9652321,Built_EQI
Copiah C,0.4404313,Air_EQI
Covingto,0.2471678,Air_EQI
DeSoto C,1.246015,Air_EQI
Forrest,1.217067,Air_EQI
Franklin,-0.5562302,Air_EQI
George C,0.2407681,Air_EQI
Greene C,-0.3317618,Air_EQI
Grenada,0.6416451,Air_EQI
Hancock,0.6008288,Air_EQI
Harrison,1.143328,Air_EQI
Hinds Co,1.193087,Air_EQI
Holmes C,-0.3439937,Land_EQI
Humphrey,0.4684798,Land_EQI
Itawamba,0.2890128,Air_EQI
Jackson,1.29684,Air_EQI
Jasper C,-0.0170313,Air_EQI
Jefferso,0.1620446,Air_EQI
Jefferso,-0.1772241,Air_EQI
Jones Co,0.8084395,Air_EQI
Kemper C,-0.4555944,Air_EQI
Lafayett,0.4474307,Built_EQI
Lamar Co,0.8401071,Sociod_EQI
Lauderda,0.9041976,Air_EQI
Lawrence,-0.0458865,Air_EQI
Leake Co,-0.2196027,Air_EQI
Lee Coun,1.204264,Air_EQI
Leflore,0.871208,Air_EQI
Lincoln,0.4162419,Air_EQI
Lowndes,0.9048905,Built_EQI
Madison,0.961165,Sociod_EQI
Marion C,0.4204387,Air_EQI
Marshall,0.401251,Air_EQI
Monroe C,0.6700829,Air_EQI
Montgome,-0.1090153,Air_EQI
Neshoba,0.2809027,Air_EQI
Newton C,0.119452,Air_EQI
Noxubee,0.5217653,Land_EQI
Oktibbeh,0.6627386,Air_EQI
Panola C,0.2633505,Air_EQI
Pearl Ri,0.4426542,Air_EQI
Perry Co,-0.1211334,Air_EQI
Pike Cou,0.9491861,Built_EQI
Pontotoc,0.4481383,Air_EQI
Prentiss,0.5709757,Air_EQI
Quitman,0.4469453,Land_EQI
Rankin C,0.8989969,Sociod_EQI
Scott Co,0.1395748,Air_EQI
Sharkey,0.5635922,Land_EQI
Simpson,0.2405878,Air_EQI
Smith Co,-0.2194613,Air_EQI
Stone Co,0.4599248,Air_EQI
Sunflowe,0.6315329,Land_EQI
Tallahat,0.2695446,Air_EQI
Tate Cou,0.6426862,Air_EQI
Tippah C,0.4837465,Air_EQI
Tishomin,0.3502842,Air_EQI
Tunica C,0.9548416,Land_EQI
Union Co,0.4238753,Air_EQI
Walthall,0.3833264,Air_EQI
Warren C,0.9843175,Built_EQI
Washingt,0.8218786,Built_EQI
Wayne Co,0.1054637,Air_EQI
Webster,0.1153232,Air_EQI
Wilkinso,-0.3305289,Air_EQI
Winston,0.3219144,Air_EQI
Yalobush,-0.2562211,Air_EQI
Yazoo Co,0.6882689,Air_EQI
Adair Co,0.9383267,Built_EQI
Andrew C,1.005109,Sociod_EQI
Atchison,0.8968086,Water_EQI
Audrain,0.853095,Water_EQI
Barry Co,0.8604159,Water_EQI
Barton C,0.8254592,Water_EQI
Bates Co,0.8624933,Water_EQI
Benton C,0.9000713,Water_EQI
Bollinge,0.8742367,Water_EQI
Boone Co,1.138082,Built_EQI
Buchanan,0.9531084,Built_EQI
Butler C,1.095719,Built_EQI
Caldwell,0.8891826,Water_EQI
Callaway,0.837369,Water_EQI
Camden C,1.170126,Built_EQI
Cape Gir,0.8730458,Water_EQI
Carroll,0.9245737,Land_EQI
Carter C,-0.3713642,Land_EQI
Cass Cou,1.534823,Sociod_EQI
Cedar Co,-0.2781043,Land_EQI
Chariton,0.8944075,Water_EQI
Christia,0.8509052,Sociod_EQI
Clark Co,0.8689077,Water_EQI
Clay Cou,1.488996,Sociod_EQI
Clinton,0.9078968,Sociod_EQI
Cole Cou,1.079362,Built_EQI
Cooper C,0.8865409,Water_EQI
Crawford,0.0755217,Water_EQI
Dade Cou,0.7414027,Land_EQI
Dallas C,0.8983658,Water_EQI
Daviess,0.8971289,Water_EQI
DeKalb C,0.9289597,Water_EQI
Dent Cou,0.861903,Water_EQI
Douglas,0.8870113,Water_EQI
Dunklin,0.7712678,Land_EQI
Franklin,0.789784,Sociod_EQI
Gasconad,0.876846,Water_EQI
Gentry C,0.8968627,Water_EQI
Greene C,0.9243876,Air_EQI
Grundy C,0.9173821,Built_EQI
Harrison,0.8933496,Water_EQI
Henry Co,0.9207878,Water_EQI
Hickory,0.8316328,Water_EQI
Holt Cou,0.9399811,Water_EQI
Howard C,0.9035305,Water_EQI
Howell C,1.017065,Built_EQI
Iron Cou,0.8342417,Water_EQI
Jackson,1.41108,Air_EQI
Jasper C,0.8566946,Water_EQI
Jefferso,1.17072,Air_EQI
Johnson,0.9203207,Water_EQI
Knox Cou,-0.2132103,Land_EQI
Laclede,0.6175251,Built_EQI
Lafayett,0.9011536,Water_EQI
Lawrence,0.9160841,Water_EQI
Lewis Co,0.8709257,Water_EQI
Lincoln,0.509159,Sociod_EQI
Linn Cou,0.8734316,Water_EQI
Livingst,0.9953185,Built_EQI
McDonald,-0.1433383,Air_EQI
Macon Co,0.808165,Water_EQI
Madison,0.8672529,Water_EQI
Maries C,0.5550712,Water_EQI
Marion C,0.9991993,Built_EQI
Mercer C,0.8598271,Water_EQI
Miller C,0.9279261,Water_EQI
Mississi,0.9273053,Land_EQI
Moniteau,0.9099899,Water_EQI
Monroe C,0.8810576,Water_EQI
Montgome,0.8325459,Water_EQI
Morgan C,0.9450823,Water_EQI
New Madr,0.5821492,Land_EQI
Newton C,1.244894,Built_EQI
Nodaway,0.9270479,Water_EQI
Oregon C,0.8829974,Water_EQI
Osage Co,0.4102941,Sociod_EQI
Ozark Co,0.0756361,Water_EQI
Pemiscot,1.016623,Land_EQI
Perry Co,0.8630229,Water_EQI
Pettis C,0.9100609,Water_EQI
Phelps C,1.08177,Built_EQI
Pike Cou,1.000611,Built_EQI
Platte C,2.01267,Sociod_EQI
Polk Cou,0.320871,Land_EQI
Pulaski,0.8328426,Water_EQI
Putnam C,0.8645222,Water_EQI
Ralls Co,0.4744717,Built_EQI
Randolph,0.8804271,Water_EQI
Ray Coun,0.8859333,Water_EQI
Reynolds,0.8358962,Water_EQI
Ripley C,0.869839,Water_EQI
St. Char,1.980339,Sociod_EQI
St. Clai,-0.237072,Land_EQI
Ste. Gen,0.3478695,Built_EQI
St. Fran,0.6808794,Built_EQI
St. Loui,1.743891,Air_EQI
Saline C,0.8552037,Water_EQI
Schuyler,0.0565424,Built_EQI
Scotland,0.8491058,Water_EQI
Scott Co,0.8590139,Water_EQI
Shannon,0.8356202,Water_EQI
Shelby C,0.8662854,Water_EQI
Stoddard,0.2622896,Air_EQI
Stone Co,0.8748742,Water_EQI
Sullivan,0.8336331,Water_EQI
Taney Co,1.949522,Built_EQI
Texas Co,-0.0066358,Built_EQI
Vernon C,0.8095398,Built_EQI
Warren C,0.5200087,Sociod_EQI
Washingt,0.9133452,Water_EQI
Wayne Co,0.8267855,Water_EQI
Webster,0.0634532,Sociod_EQI
Wright C,0.8731765,Water_EQI
St. Loui,2.125994,Air_EQI
Beaverhe,1.080953,Water_EQI
Big Horn,1.080948,Water_EQI
Blaine C,0.9766427,Water_EQI
Broadwat,1.110948,Land_EQI
Carbon C,1.01367,Water_EQI
Cascade,1.189677,Built_EQI
Chouteau,1.036137,Water_EQI
Custer C,0.9602106,Built_EQI
Dawson C,0.4697454,Land_EQI
Deer Lod,1.106611,Built_EQI
Fergus C,1.086258,Built_EQI
Flathead,1.332252,Built_EQI
Gallatin,1.306005,Built_EQI
Glacier,1.027147,Water_EQI
Hill Cou,0.9391311,Water_EQI
Jefferso,1.486988,Land_EQI
Lake Cou,1.150594,Built_EQI
Lewis an,1.682049,Built_EQI
Lincoln,1.031022,Water_EQI
Madison,0.7610347,Land_EQI
Mineral,1.001773,Water_EQI
Missoula,1.615554,Built_EQI
Musselsh,0.2762839,Land_EQI
Park Cou,1.685547,Built_EQI
Phillips,0.9958884,Water_EQI
Pondera,0.969197,Water_EQI
Powell C,0.9953752,Water_EQI
Ravalli,1.024218,Water_EQI
Richland,0.9347551,Water_EQI
Roosevel,0.6544177,Land_EQI
Rosebud,1.018336,Water_EQI
Sanders,1.01389,Water_EQI
Sheridan,0.9681309,Land_EQI
Silver B,1.583373,Built_EQI
Stillwat,0.9777124,Water_EQI
Sweet Gr,0.6565729,Land_EQI
Teton Co,0.9204481,Water_EQI
Toole Co,0.9440058,Water_EQI
Valley C,1.028423,Water_EQI
Yellowst,1.356676,Built_EQI
Adams Co,0.9253116,Water_EQI
Antelope,0.5400812,Land_EQI
Boone Co,0.7742287,Sociod_EQI
Box Butt,0.6274673,Built_EQI
Boyd Cou,1.137822,Land_EQI
Buffalo,1.031939,Water_EQI
Burt Cou,0.9511977,Land_EQI
Butler C,0.8862734,Land_EQI
Cass Cou,1.543386,Sociod_EQI
Cedar Co,1.101801,Land_EQI
Chase Co,0.5063481,Sociod_EQI
Cherry C,0.9279408,Water_EQI
Cheyenne,0.9324953,Water_EQI
Clay Cou,1.048192,Water_EQI
Colfax C,0.9430469,Land_EQI
Cuming C,1.087664,Land_EQI
Custer C,1.026641,Water_EQI
Dakota C,0.9941304,Water_EQI
Dawes Co,1.301077,Built_EQI
Dawson C,1.024877,Water_EQI
Dixon Co,1.129884,Land_EQI
Dodge Co,1.113451,Land_EQI
Douglas,1.38527,Air_EQI
Fillmore,0.952005,Water_EQI
Furnas C,0.457798,Land_EQI
Gage Cou,0.9911985,Water_EQI
Hall Cou,1.007049,Water_EQI
Hamilton,1.179928,Sociod_EQI
Holt Cou,0.7359685,Water_EQI
Howard C,0.5922712,Water_EQI
Jefferso,0.9904097,Water_EQI
Johnson,1.022339,Water_EQI
Kearney,1.052491,Sociod_EQI
Keith Co,1.155964,Built_EQI
Kimball,0.5899477,Water_EQI
Knox Cou,0.8391462,Land_EQI
Lancaste,1.072106,Water_EQI
Lincoln,0.9865329,Water_EQI
Madison,1.166463,Built_EQI
Merrick,1.07481,Water_EQI
Morrill,0.6248015,Water_EQI
Nance Co,0.5175086,Land_EQI
Nemaha C,0.6714386,Land_EQI
Nuckolls,0.99141,Water_EQI
Otoe Cou,0.8171436,Built_EQI
Pawnee C,0.6736066,Land_EQI
Phelps C,0.9664236,Sociod_EQI
Pierce C,0.9209094,Land_EQI
Platte C,1.03424,Sociod_EQI
Polk Cou,1.061539,Sociod_EQI
Red Will,0.8582134,Built_EQI
Richards,0.9893795,Water_EQI
Saline C,0.7580534,Land_EQI
Sarpy Co,2.190262,Sociod_EQI
Saunders,1.255529,Sociod_EQI
Scotts B,1.205542,Built_EQI
Seward C,1.257312,Sociod_EQI
Sheridan,1.012022,Built_EQI
Thayer C,0.8693299,Water_EQI
Thurston,0.9689804,Land_EQI
Washingt,1.679489,Sociod_EQI
Wayne Co,1.169361,Land_EQI
Webster,0.5452932,Land_EQI
York Cou,0.9953741,Water_EQI
Belknap,1.18674,Built_EQI
Carroll,1.166735,Built_EQI
Cheshire,0.9279991,Water_EQI
Coos Cou,0.9498187,Water_EQI
Grafton,1.282125,Built_EQI
Hillsbor,1.551822,Sociod_EQI
Merrimac,1.323025,Sociod_EQI
Rockingh,2.043249,Sociod_EQI
Straffor,0.9704132,Air_EQI
Sullivan,0.98031,Water_EQI
Atlantic,0.9693189,Air_EQI
Bergen C,2.245086,Sociod_EQI
Burlingt,2.055604,Sociod_EQI
Camden C,1.88081,Air_EQI
Cape May,0.6628231,Air_EQI
Cumberla,1.16488,Air_EQI
Essex Co,2.066267,Air_EQI
Gloucest,1.682503,Sociod_EQI
Hudson C,2.410725,Air_EQI
Hunterdo,3.537189,Sociod_EQI
Mercer C,1.776769,Air_EQI
Middlese,1.816729,Air_EQI
Monmouth,2.228565,Sociod_EQI
Morris C,3.183686,Sociod_EQI
Ocean Co,0.9948302,Sociod_EQI
Passaic,1.871867,Air_EQI
Salem Co,1.478951,Air_EQI
Somerset,3.033464,Sociod_EQI
Sussex C,2.424121,Sociod_EQI
Union Co,2.012746,Air_EQI
Warren C,1.935094,Sociod_EQI
Bernalil,1.028533,Built_EQI
Catron C,0.7948046,Water_EQI
Chaves C,0.6174039,Water_EQI
Cibola C,0.8916506,Water_EQI
Colfax C,1.204082,Built_EQI
Curry Co,0.8523107,Water_EQI
Dona Ana,1.037511,Water_EQI
Eddy Cou,0.9399203,Water_EQI
Grant Co,1.002456,Water_EQI
Lea Coun,0.9633434,Water_EQI
Lincoln,1.232113,Built_EQI
Los Alam,3.069432,Sociod_EQI
Luna Cou,0.9250804,Water_EQI
McKinley,0.9082127,Water_EQI
Otero Co,0.8341902,Water_EQI
Quay Cou,0.8548113,Water_EQI
Rio Arri,0.9465049,Water_EQI
Roosevel,0.8471556,Water_EQI
Sandoval,0.7834499,Water_EQI
San Juan,0.8546236,Water_EQI
San Migu,0.9153818,Water_EQI
Santa Fe,1.317723,Built_EQI
Sierra C,0.294645,Land_EQI
Socorro,0.9148524,Water_EQI
Taos Cou,1.394075,Built_EQI
Torrance,0.4178724,Water_EQI
Valencia,0.8089483,Water_EQI
Albany C,1.819623,Built_EQI
Allegany,0.8362612,Water_EQI
Bronx Co,2.336144,Air_EQI
Broome C,1.131176,Air_EQI
Cattarau,1.183385,Built_EQI
Cayuga C,0.8750767,Air_EQI
Chautauq,0.9714969,Built_EQI
Chemung,1.092087,Air_EQI
Chenango,0.6106643,Air_EQI
Clinton,0.9951121,Built_EQI
Columbia,1.219938,Land_EQI
Cortland,1.001898,Built_EQI
Delaware,0.7027314,Built_EQI
Dutchess,1.369076,Sociod_EQI
Erie Cou,1.613386,Air_EQI
Essex Co,1.38971,Built_EQI
Franklin,0.7918557,Water_EQI
Fulton C,0.8602706,Water_EQI
Genesee,1.052207,Sociod_EQI
Greene C,0.9809158,Land_EQI
Hamilton,0.8267408,Built_EQI
Herkimer,0.8651599,Water_EQI
Jefferso,0.6966639,Land_EQI
Kings Co,2.353388,Air_EQI
Lewis Co,0.3119954,Land_EQI
Livingst,0.9776307,Sociod_EQI
Madison,1.023514,Water_EQI
Monroe C,1.503299,Air_EQI
Montgome,1.055623,Built_EQI
Nassau C,2.797058,Sociod_EQI
New York,2.78984,Air_EQI
Niagara,1.501787,Air_EQI
Oneida C,1.065952,Air_EQI
Onondaga,1.265712,Air_EQI
Ontario,1.194187,Sociod_EQI
Orange C,1.275031,Built_EQI
Orleans,0.6584635,Land_EQI
Oswego C,0.5115952,Air_EQI
Otsego C,0.8312268,Built_EQI
Putnam C,2.692702,Sociod_EQI
Queens C,2.202838,Air_EQI
Renssela,1.29362,Air_EQI
Richmond,2.128481,Air_EQI
Rockland,2.342997,Sociod_EQI
St. Lawr,0.3674946,Land_EQI
Saratoga,1.51459,Sociod_EQI
Schenect,1.25188,Air_EQI
Schohari,0.9650179,Water_EQI
Schuyler,1.141586,Water_EQI
Seneca C,0.5638165,Land_EQI
Steuben,0.8214371,Water_EQI
Suffolk,2.114977,Sociod_EQI
Sullivan,1.058982,Built_EQI
Tioga Co,1.120554,Sociod_EQI
Tompkins,1.141989,Built_EQI
Ulster C,1.304943,Built_EQI
Warren C,1.767231,Built_EQI
Washingt,0.8655124,Water_EQI
Wayne Co,1.156215,Sociod_EQI
Westches,2.038386,Sociod_EQI
Wyoming,0.9275167,Land_EQI
Yates Co,0.7231855,Land_EQI
Alamance,1.184472,Air_EQI
Alexande,1.083827,Water_EQI
Alleghan,0.9897823,Water_EQI
Anson Co,0.9252102,Water_EQI
Ashe Cou,1.035833,Water_EQI
Avery Co,1.072274,Water_EQI
